#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36590080,100 мм,"G1/2""",1,1 бар,Нержавеющая сталь
,36590082,100 мм,"G1/2""",1,4 бар,Нержавеющая сталь
,36590083,100 мм,"G1/2""",1,10 бар,Нержавеющая сталь
,36590085,100 мм,"G1/2""",1,16 бар,Нержавеющая сталь
,36590086,100 мм,"G1/2""",1,25 бар,Нержавеющая сталь
,36590088,100 мм,"G1/2""",1,40 бар,Нержавеющая сталь
,36590089,100 мм,"G1/2""",1,70 бар,Нержавеющая сталь
,36590092,100 мм,"G1/2""",1,100 бар,Нержавеющая сталь
,36590093,100 мм,"G1/2""",1,160 бар,Нержавеющая сталь
,36590094,100 мм,"G1/2""",1,250 бар,Нержавеющая сталь
,36590096,100 мм,"G1/2""",1,400 бар,Нержавеющая сталь
