#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36587214,"G 1/2""",1,1 бар,Нерж.сталь
,36587215,"G 1/2""",1,4 бар,Нерж.сталь
,36587216,"G 1/2""",1,10 бар,Нерж.сталь
,36587217,"G 1/2""",1,16 бар,Нерж.сталь
,36587218,"G 1/2""",1,25 бар,Нерж.сталь
,36587219,"G 1/2""",1,40 бар,Нерж.сталь
,36587220,"G 1/2""",1,70 бар,Нерж.сталь
,36587221,"G 1/2""",1,100 бар,Нерж.сталь
,36587222,"G 1/2""",1,160 бар,Нерж.сталь
,36587223,"G 1/2""",1,250 бар,Нерж.сталь
,36587224,"G 1/2""",1,400 бар,Нерж.сталь
,36587225,"G 1/2""",1,600 бар,Нерж.сталь
,36587226,"G 1/2""",1,1000 бар,Нерж.сталь
,36565382,"G 1/2""",1,1 бар,Нерж.сталь
,36525831,"G 1/2""",1,4 бар,Нерж.сталь
,36517978,"G 1/2""",1,10 бар,Нерж.сталь
,36525835,"G 1/2""",1,16 бар,Нерж.сталь
,36517982,"G 1/2""",1,25 бар,Нерж.сталь
,36587227,"G 1/2""",1,40 бар,Нерж.сталь
,36587228,"G 1/2""",1,70 бар,Нерж.сталь
,36517980,"G 1/2""",1,100 бар,Нерж.сталь
,36587229,"G 1/2""",1,160 бар,Нерж.сталь
,36525839,"G 1/2""",1,250 бар,Нерж.сталь
,36525842,"G 1/2""",1,400 бар,Нерж.сталь
,36525828,"G 1/2""",1,600 бар,Нерж.сталь
,36549375,"G 1/2""",1,1000 бар,Нерж.сталь
