#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление
,VNTA1-G-315BAR,G3/4,до 315 бар
,VNTA1-W-315BAR,W21.8,до 315 бар
,VNTA1-WL-315BAR,W21.8LH,до 315 бар
