#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36576759,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,1 бар
,36507400,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,"1,6 бар"
,36586520,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,4 бар
,36512209,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,10 бар
,36499228,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,16 бар
,36586524,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,25 бар
,36580283,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,40 бар
,36586526,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,70 бар
,36586527,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,100 бар
,36580274,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,250 бар
,36586530,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,400 бар
,36586531,"2,5",63 мм,"G 1/4""",Нержавеющая сталь,600 бар
