#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Тип взрывозащиты
,PSA2100X-04R-A-1-F-1-A,"0,1-0,8 бар",SS316,"FNPT 1/2""",A*
,PSA2100X-10R-A-1-F-1-A,"0,1-1,1 бар",SS316,"FNPT 1/2""",A*
,PSA2100X-20R-A-1-F-1-A,"0,1-1,4 бар",SS316,"FNPT 1/2""",A*
,PSA2100X-30R-A-1-F-1-A,"0,2-1,9 бар",SS316,"FNPT 1/2""",A*
,PSA2100X-40R-A-1-F-1-A,"0,5-6,9 бар",SS316,"FNPT 1/2""",A*
,PSA2100X-04R-A-1-F-1-B,"0,1-0,8 бар",SS316,"FNPT 1/2""",B*
,PSA2100X-10R-A-1-F-1-B,"0,1-1,1 бар",SS316,"FNPT 1/2""",B*
,PSA2100X-20R-A-1-F-1-B,"0,1-1,4 бар",SS316,"FNPT 1/2""",B*
,PSA2100X-30R-A-1-F-1-B,"0,2-1,9 бар",SS316,"FNPT 1/2""",B*
,PSA2100X-40R-A-1-F-1-B,"0,5-6,9 бар",SS316,"FNPT 1/2""",B*
,PSA2100X-04R-A-1-F-1-C,"0,1-0,8 бар",SS316,"FNPT 1/2""",C*
,PSA2100X-10R-A-1-F-1-C,"0,1-1,1 бар",SS316,"FNPT 1/2""",C*
,PSA2100X-20R-A-1-F-1-C,"0,1-1,4 бар",SS316,"FNPT 1/2""",C*
,PSA2100X-30R-A-1-F-1-C,"0,2-1,9 бар",SS316,"FNPT 1/2""",C*
,PSA2100X-40R-A-1-F-1-C,"0,5-6,9 бар",SS316,"FNPT 1/2""",C*
,PSA2100X-04R-A-2-F-1-A,"0,1-0,8 бар",SS316,"FNPT 1/4""",A*
,PSA2100X-10R-A-2-F-1-A,"0,1-1,1 бар",SS316,"FNPT 1/4""",A*
,PSA2100X-20R-A-2-F-1-A,"0,1-1,4 бар",SS316,"FNPT 1/4""",A*
,PSA2100X-30R-A-2-F-1-A,"0,2-1,9 бар",SS316,"FNPT 1/4""",A*
,PSA2100X-40R-A-2-F-1-A,"0,5-6,9 бар",SS316,"FNPT 1/4""",A*
,PSA2100X-04R-A-2-F-1-B,"0,1-0,8 бар",SS316,"FNPT 1/4""",B*
,PSA2100X-10R-A-2-F-1-B,"0,1-1,1 бар",SS316,"FNPT 1/4""",B*
,PSA2100X-20R-A-2-F-1-B,"0,1-1,4 бар",SS316,"FNPT 1/4""",B*
,PSA2100X-30R-A-2-F-1-B,"0,2-1,9 бар",SS316,"FNPT 1/4""",B*
,PSA2100X-40R-A-2-F-1-B,"0,5-6,9 бар",SS316,"FNPT 1/4""",B*
,PSA2100X-04R-A-2-F-1-C,"0,1-0,8 бар",SS316,"FNPT 1/4""",C*
,PSA2100X-10R-A-2-F-1-C,"0,1-1,1 бар",SS316,"FNPT 1/4""",C*
,PSA2100X-20R-A-2-F-1-C,"0,1-1,4 бар",SS316,"FNPT 1/4""",C*
,PSA2100X-30R-A-2-F-1-C,"0,2-1,9 бар",SS316,"FNPT 1/4""",C*
,PSA2100X-40R-A-2-F-1-C,"0,5-6,9 бар",SS316,"FNPT 1/4""",C*
,PSA2100X-04R-A-M-F-1-A,"0,1-0,8 бар",SS316,M20x1.5,A*
,PSA2100X-10R-A-M-F-1-A,"0,1-1,1 бар",SS316,M20x1.5,A*
,PSA2100X-20R-A-M-F-1-A,"0,1-1,4 бар",SS316,M20x1.5,A*
,PSA2100X-30R-A-M-F-1-A,"0,2-1,9 бар",SS316,M20x1.5,A*
,PSA2100X-40R-A-M-F-1-A,"0,5-6,9 бар",SS316,M20x1.5,A*
,PSA2100X-04R-A-M-F-1-B,"0,1-0,8 бар",SS316,M20x1.5,B*
,PSA2100X-10R-A-M-F-1-B,"0,1-1,1 бар",SS316,M20x1.5,B*
,PSA2100X-20R-A-M-F-1-B,"0,1-1,4 бар",SS316,M20x1.5,B*
,PSA2100X-30R-A-M-F-1-B,"0,2-1,9 бар",SS316,M20x1.5,B*
,PSA2100X-40R-A-M-F-1-B,"0,5-6,9 бар",SS316,M20x1.5,B*
,PSA2100X-04R-A-M-F-1-C,"0,1-0,8 бар",SS316,M20x1.5,C*
,PSA2100X-10R-A-M-F-1-C,"0,1-1,1 бар",SS316,M20x1.5,C*
,PSA2100X-20R-A-M-F-1-C,"0,1-1,4 бар",SS316,M20x1.5,C*
,PSA2100X-30R-A-M-F-1-C,"0,2-1,9 бар",SS316,M20x1.5,C*
,PSA2100X-40R-A-M-F-1-C,"0,5-6,9 бар",SS316,M20x1.5,C*
