#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал верхней части корпуса,Параметр:Заказной код:Материал нижней части корпуса,Параметр:Заказной код:Материал мембраны
,DT111-B-2-S-1,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-B-2-S-2,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-B-2-S-3,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-B-4-S-1,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-B-4-S-2,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-B-4-S-3,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-B-6-S-1,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-B-6-S-2,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-B-6-S-3,"FNPT 1/4""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-B-7-S-1,"FNPT 1/4""",M20x1.5,SS316,SS316,SS316L
,DT111-B-7-S-2,"FNPT 1/4""",M20x1.5,SS316,SS316,Хастеллой C276
,DT111-B-7-S-3,"FNPT 1/4""",M20x1.5,SS316,SS316,Тантал
,DT111-D-2-S-1,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-D-2-S-2,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-D-2-S-3,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-D-4-S-1,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-D-4-S-2,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-D-4-S-3,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-D-6-S-1,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-D-6-S-2,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-D-6-S-3,"FNPT 3/8""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-D-7-S-1,"FNPT 3/8""",M20x1.5,SS316,SS316,SS316L
,DT111-D-7-S-2,"FNPT 3/8""",M20x1.5,SS316,SS316,Хастеллой C276
,DT111-D-7-S-3,"FNPT 3/8""",M20x1.5,SS316,SS316,Тантал
,DT111-F-2-S-1,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-F-2-S-2,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-F-2-S-3,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-F-4-S-1,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-F-4-S-2,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-F-4-S-3,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-F-6-S-1,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,SS316L
,DT111-F-6-S-2,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-F-6-S-3,"FNPT 1/2""","MNPT 1/4""",SS316,SS316,Тантал
,DT111-F-7-S-1,"FNPT 1/2""",M20x1.5,SS316,SS316,SS316L
,DT111-F-7-S-2,"FNPT 1/2""",M20x1.5,SS316,SS316,Хастеллой C276
,DT111-F-7-S-3,"FNPT 1/2""",M20x1.5,SS316,SS316,Тантал
,DT111-M-2-S-1,M20x1.5,"MNPT 1/4""",SS316,SS316,SS316L
,DT111-M-2-S-2,M20x1.5,"MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-M-2-S-3,M20x1.5,"MNPT 1/4""",SS316,SS316,Тантал
,DT111-M-4-S-1,M20x1.5,"MNPT 1/4""",SS316,SS316,SS316L
,DT111-M-4-S-2,M20x1.5,"MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-M-4-S-3,M20x1.5,"MNPT 1/4""",SS316,SS316,Тантал
,DT111-M-6-S-1,M20x1.5,"MNPT 1/4""",SS316,SS316,SS316L
,DT111-M-6-S-2,M20x1.5,"MNPT 1/4""",SS316,SS316,Хастеллой C276
,DT111-M-6-S-3,M20x1.5,"MNPT 1/4""",SS316,SS316,Тантал
,DT111-M-7-S-1,M20x1.5,M20x1.5,SS316,SS316,SS316L
,DT111-M-7-S-2,M20x1.5,M20x1.5,SS316,SS316,Хастеллой C276
,DT111-M-7-S-3,M20x1.5,M20x1.5,SS316,SS316,Тантал
