#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Корпус
,36557640,160 мм,"G1/2""","0,6 бар","0,6",Нержавеющая сталь
,36594851,160 мм,"G1/2""","2,5 бар","0,6",Нержавеющая сталь
,36587762,160 мм,"G1/2""",6 бар,"0,6",Нержавеющая сталь
,36503583,160 мм,"G1/2""",10 бар,"0,6",Нержавеющая сталь
,36560925,160 мм,"G1/2""",25 бар,"0,6",Нержавеющая сталь
,36594852,160 мм,"G1/2""",40 бар,"0,6",Нержавеющая сталь
,36594853,160 мм,"G1/2""",70 бар,"0,6",Нержавеющая сталь
,36594854,160 мм,"G1/2""",100 бар,"0,6",Нержавеющая сталь
,36561482,160 мм,"G1/2""",160 бар,"0,6",Нержавеющая сталь
,36594856,160 мм,"G1/2""",250 бар,"0,6",Нержавеющая сталь
,36510554,160 мм,"G1/2""",400 бар,"0,6",Нержавеющая сталь
,36594857,160 мм,"G1/2""",600 бар,"0,6",Нержавеющая сталь
