#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,36518955,63 мм,G1/4,снизу,-1..0 бар
,36518954,63 мм,G1/4,снизу,"-1..0,6 бар"
,36518953,63 мм,G1/4,снизу,"-1..1,5 бар"
,36518952,63 мм,G1/4,снизу,-1..3 бар
,36496692,63 мм,G1/4,снизу,-1..5 бар
,36518951,63 мм,G1/4,снизу,-1..9 бар
,36518950,63мм,G1/4,снизу,-1..15 бар
,36496618,63мм,G1/4,снизу,1 бар
,36518949,63мм,G1/4,снизу,"1,6 бар"
,36518948,63мм,G1/4,снизу,"2,5 бар"
,36518985,63мм,G1/4,снизу,4 бар
,36496242,63мм,G1/4,снизу,6 бар
,36518986,63мм,G1/4,снизу,10 бар
,36517618,63мм,G1/4,снизу,16 бар
,36517619,63мм,G1/4,снизу,25 бар
,36497655,63мм,G1/4,снизу,40 бар
,36495498,63мм,G1/4,снизу,60 бар
,36496355,63мм,G1/4,снизу,100 бар
,36495071,63мм,G1/4,снизу,160 бар
,36517620,63мм,G1/4,снизу,250 бар
,36517621,63мм,G1/4,снизу,400 бар
,36517622,63мм,G1/4,снизу,600 бар
,36496082,63мм,G1/4,снизу,1000 бар
,36518947,63мм,G1/4,сзади,-1..0 бар
,36518946,63мм,G1/4,сзади,"-1..0,6 бар"
,36518945,63мм,G1/4,сзади,"-1..1,5 бар"
,36518944,63мм,G1/4,сзади,-1..3 бар
,36518943,63мм,G1/4,сзади,-1..5 бар
,36518941,63мм,G1/4,сзади,-1..9 бар
,36518939,63мм,G1/4,сзади,-1..15 бар
,36518929,63мм,G1/4,сзади,"0,6 бар"
,36495152,63мм,G1/4,сзади,"1,6 бар"
,9534504,63мм,G1/4,сзади,"2,5 бар"
,36507457,63мм,G1/4,сзади,4 бар
,36518987,63мм,G1/4,сзади,6 бар
,36518988,63мм,G1/4,сзади,10 бар
,36496140,63мм,G1/4,сзади,16 бар
,36517623,63мм,G1/4,сзади,25 бар
,36517624,63мм,G1/4,сзади,40 бар
,36517625,63мм,G1/4,сзади,60 бар
,36517626,63мм,G1/4,сзади,100 бар
,36517627,63мм,G1/4,сзади,160 бар
,36496222,63мм,G1/4,сзади,250 бар
,36517628,63мм,G1/4,сзади,400 бар
,36517629,63мм,G1/4,сзади,600 бар
,36517630,63мм,G1/4,сзади,1000 бар
