#,Заказной код,Параметр:Заказной код:Точность,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,12274284,"1,00%","G 1/4"" B",10...36 В пост. Тока,0…100 бар,"4...20 мA, 2-проводной",Нерж. сталь 316L и 1.4542
,13024469,"1,00%","G 1/4"" B",10...36 В пост. Тока,0…250 бар,"4...20 мA, 2-проводной",Нерж. сталь 316L и 1.4542
,12362182,"1,00%","G 1/4"" B",10...36 В пост. Тока,0…400 бар,"4...20 мA, 2-проводной",Нерж. сталь 316L и 1.4542
,13037285,"1,00%","G 1/4"" B",10...36 В пост. Тока,0…600 бар,"4...20 мA, 2-проводной",Нерж. сталь 316L и 1.4542
,63219174,"1,00%","G 1/4"" B",10...36 В пост. Тока,0…160 бар,"4...20 мA, 2-проводной",Нерж. сталь 316L и 1.4542
