#,Заказной код,Параметр:Заказной код:Материал плит и болтов,,,
,SL-E1,Углеродистая сталь ,,,
,SL-E2,Углеродистая сталь ,,,
,SL-E3,Углеродистая сталь ,,,
,SL-E1S,Нержавеющая сталь ,,,
,SL-E2S,Нержавеющая сталь ,,,
,SL-E3S,Нержавеющая сталь ,,,
