#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLF-106,L1,6,Углеродистая сталь 
,SLLF-106.4,L1,6.4,Углеродистая сталь 
,SLLF-108,L1,8,Углеродистая сталь 
,SLLF-109.5,L1,9.5,Углеродистая сталь 
,SLLF-110,L1,10,Углеродистая сталь 
,SLLF-112,L1,12,Углеродистая сталь 
,SLLF-212.7,L2,12.7,Углеродистая сталь 
,SLLF-213.5,L2,13.5,Углеродистая сталь 
,SLLF-214,L2,14,Углеродистая сталь 
,SLLF-215,L2,15,Углеродистая сталь 
,SLLF-216,L2,16,Углеродистая сталь 
,SLLF-217.2,L2,17.2,Углеродистая сталь 
,SLLF-218,L2,18,Углеродистая сталь 
,SLLF-319,L3,19,Углеродистая сталь 
,SLLF-320,L3,20,Углеродистая сталь 
,SLLF-321.3,L3,21.3,Углеродистая сталь 
,SLLF-322,L3,22,Углеродистая сталь 
,SLLF-325,L3,25,Углеродистая сталь 
,SLLF-426.9,L4,26.9,Углеродистая сталь 
,SLLF-428,L4,28,Углеродистая сталь 
,SLLF-430,L4,30,Углеродистая сталь 
,SLLF-532,L5,32,Углеродистая сталь 
,SLLF-533.7,L5,33.7,Углеродистая сталь 
,SLLF-535,L5,35,Углеродистая сталь 
,SLLF-538,L5,38,Углеродистая сталь 
,SLLF-540,L5,40,Углеродистая сталь 
,SLLF-542,L5,42,Углеродистая сталь 
,SLLF-644.5,L6,44.5,Углеродистая сталь 
,SLLF-648.3,L6,48.3,Углеродистая сталь 
,SLLF-650.8,L6,50.8,Углеродистая сталь 
,SLLF-757.2,L7,57.2,Углеродистая сталь 
,SLLF-760.3,L7,60.3,Углеродистая сталь 
,SLLF-763.5,L7,63.5,Углеродистая сталь 
,SLLF-770,L7,70,Углеродистая сталь 
,SLLF-773,L7,73,Углеродистая сталь 
,SLLF-776.1,L7,76.1,Углеродистая сталь 
,SLLF-888.9,L8,88.9,Углеродистая сталь 
,SLLF-8102,L8,102,Углеродистая сталь 
,SLLF-106S,L1,6,Нержавеющая сталь 
,SLLF-106.4S,L1,6.4,Нержавеющая сталь 
,SLLF-108S,L1,8,Нержавеющая сталь 
,SLLF-109.5S,L1,9.5,Нержавеющая сталь 
,SLLF-110S,L1,10,Нержавеющая сталь 
,SLLF-112S,L1,12,Нержавеющая сталь 
,SLLF-212.7S,L2,12.7,Нержавеющая сталь 
,SLLF-213.5S,L2,13.5,Нержавеющая сталь 
,SLLF-214S,L2,14,Нержавеющая сталь 
,SLLF-215S,L2,15,Нержавеющая сталь 
,SLLF-216S,L2,16,Нержавеющая сталь 
,SLLF-217.2S,L2,17.2,Нержавеющая сталь 
,SLLF-218S,L2,18,Нержавеющая сталь 
,SLLF-319S,L3,19,Нержавеющая сталь 
,SLLF-320S,L3,20,Нержавеющая сталь 
,SLLF-321.3S,L3,21.3,Нержавеющая сталь 
,SLLF-322S,L3,22,Нержавеющая сталь 
,SLLF-325S,L3,25,Нержавеющая сталь 
,SLLF-426.9S,L4,26.9,Нержавеющая сталь 
,SLLF-428S,L4,28,Нержавеющая сталь 
,SLLF-430S,L4,30,Нержавеющая сталь 
,SLLF-532S,L5,32,Нержавеющая сталь 
,SLLF-533.7S,L5,33.7,Нержавеющая сталь 
,SLLF-535S,L5,35,Нержавеющая сталь 
,SLLF-538S,L5,38,Нержавеющая сталь 
,SLLF-540S,L5,40,Нержавеющая сталь 
,SLLF-542S,L5,42,Нержавеющая сталь 
,SLLF-644.5S,L6,44.5,Нержавеющая сталь 
,SLLF-648.3S,L6,48.3,Нержавеющая сталь 
,SLLF-650.8S,L6,50.8,Нержавеющая сталь 
,SLLF-757.2S,L7,57.2,Нержавеющая сталь 
,SLLF-760.3S,L7,60.3,Нержавеющая сталь 
,SLLF-763.5S,L7,63.5,Нержавеющая сталь 
,SLLF-770S,L7,70,Нержавеющая сталь 
,SLLF-773S,L7,73,Нержавеющая сталь 
,SLLF-776.1S,L7,76.1,Нержавеющая сталь 
,SLLF-888.9S,L8,88.9,Нержавеющая сталь 
,SLLF-8102S,L8,102,Нержавеющая сталь 
