#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPD-006,L0,6,Углеродистая сталь 
,SLPD-006.4,L0,6.4,Углеродистая сталь 
,SLPD-008,L0,8,Углеродистая сталь 
,SLPD-009.5,L0,9.5,Углеродистая сталь 
,SLPD-010,L0,10,Углеродистая сталь 
,SLPD-012,L0,12,Углеродистая сталь 
,SLPD-006S,L0,6,Нержавеющая сталь 
,SLPD-006.4S,L0,6.4,Нержавеющая сталь 
,SLPD-008S,L0,8,Нержавеющая сталь 
,SLPD-009.5S,L0,9.5,Нержавеющая сталь 
,SLPD-010S,L0,10,Нержавеющая сталь 
,SLPD-012S,L0,12,Нержавеющая сталь 
