#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPK-106,L1,6,Углеродистая сталь 
,SLPK-106.4,L1,6.4,Углеродистая сталь 
,SLPK-108,L1,8,Углеродистая сталь 
,SLPK-109.5,L1,9.5,Углеродистая сталь 
,SLPK-110,L1,10,Углеродистая сталь 
,SLPK-112,L1,12,Углеродистая сталь 
,SLPK-212.7,L2,12.7,Углеродистая сталь 
,SLPK-213.5,L2,13.5,Углеродистая сталь 
,SLPK-214,L2,14,Углеродистая сталь 
,SLPK-215,L2,15,Углеродистая сталь 
,SLPK-216,L2,16,Углеродистая сталь 
,SLPK-217.2,L2,17.2,Углеродистая сталь 
,SLPK-218,L2,18,Углеродистая сталь 
,SLPK-319,L3,19,Углеродистая сталь 
,SLPK-320,L3,20,Углеродистая сталь 
,SLPK-321.3,L3,21.3,Углеродистая сталь 
,SLPK-322,L3,22,Углеродистая сталь 
,SLPK-325,L3,25,Углеродистая сталь 
,SLPK-426.9,L4,26.9,Углеродистая сталь 
,SLPK-428,L4,28,Углеродистая сталь 
,SLPK-430,L4,30,Углеродистая сталь 
,SLPK-532,L5,32,Углеродистая сталь 
,SLPK-533.7,L5,33.7,Углеродистая сталь 
,SLPK-535,L5,35,Углеродистая сталь 
,SLPK-538,L5,38,Углеродистая сталь 
,SLPK-540,L5,40,Углеродистая сталь 
,SLPK-542,L5,42,Углеродистая сталь 
,SLPK-644.5,L6,44.5,Углеродистая сталь 
,SLPK-648.3,L6,48.3,Углеродистая сталь 
,SLPK-650.8,L6,50.8,Углеродистая сталь 
,SLPK-757.2,L7,57.2,Углеродистая сталь 
,SLPK-760.3,L7,60.3,Углеродистая сталь 
,SLPK-763.5,L7,63.5,Углеродистая сталь 
,SLPK-770,L7,70,Углеродистая сталь 
,SLPK-773,L7,73,Углеродистая сталь 
,SLPK-776.1,L7,76.1,Углеродистая сталь 
,SLPK-888.9,L8,88.9,Углеродистая сталь 
,SLPK-8102,L8,102,Углеродистая сталь 
,SLPK-106S,L1,6,Нержавеющая сталь 
,SLPK-106.4S,L1,6.4,Нержавеющая сталь 
,SLPK-108S,L1,8,Нержавеющая сталь 
,SLPK-109.5S,L1,9.5,Нержавеющая сталь 
,SLPK-110S,L1,10,Нержавеющая сталь 
,SLPK-112S,L1,12,Нержавеющая сталь 
,SLPK-212.7S,L2,12.7,Нержавеющая сталь 
,SLPK-213.5S,L2,13.5,Нержавеющая сталь 
,SLPK-214S,L2,14,Нержавеющая сталь 
,SLPK-215S,L2,15,Нержавеющая сталь 
,SLPK-216S,L2,16,Нержавеющая сталь 
,SLPK-217.2S,L2,17.2,Нержавеющая сталь 
,SLPK-218S,L2,18,Нержавеющая сталь 
,SLPK-319S,L3,19,Нержавеющая сталь 
,SLPK-320S,L3,20,Нержавеющая сталь 
,SLPK-321.3S,L3,21.3,Нержавеющая сталь 
,SLPK-322S,L3,22,Нержавеющая сталь 
,SLPK-325S,L3,25,Нержавеющая сталь 
,SLPK-426.9S,L4,26.9,Нержавеющая сталь 
,SLPK-428S,L4,28,Нержавеющая сталь 
,SLPK-430S,L4,30,Нержавеющая сталь 
,SLPK-532S,L5,32,Нержавеющая сталь 
,SLPK-533.7S,L5,33.7,Нержавеющая сталь 
,SLPK-535S,L5,35,Нержавеющая сталь 
,SLPK-538S,L5,38,Нержавеющая сталь 
,SLPK-540S,L5,40,Нержавеющая сталь 
,SLPK-542S,L5,42,Нержавеющая сталь 
,SLPK-644.5S,L6,44.5,Нержавеющая сталь 
,SLPK-648.3S,L6,48.3,Нержавеющая сталь 
,SLPK-650.8S,L6,50.8,Нержавеющая сталь 
,SLPK-757.2S,L7,57.2,Нержавеющая сталь 
,SLPK-760.3S,L7,60.3,Нержавеющая сталь 
,SLPK-763.5S,L7,63.5,Нержавеющая сталь 
,SLPK-770S,L7,70,Нержавеющая сталь 
,SLPK-773S,L7,73,Нержавеющая сталь 
,SLPK-776.1S,L7,76.1,Нержавеющая сталь 
,SLPK-888.9S,L8,88.9,Нержавеющая сталь 
,SLPK-8102S,L8,102,Нержавеющая сталь 
