#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNB-106,L1,6,Углеродистая сталь 
,SLNB-106.4,L1,6.4,Углеродистая сталь 
,SLNB-108,L1,8,Углеродистая сталь 
,SLNB-109.5,L1,9.5,Углеродистая сталь 
,SLNB-110,L1,10,Углеродистая сталь 
,SLNB-112,L1,12,Углеродистая сталь 
,SLNB-212.7,L2,12.7,Углеродистая сталь 
,SLNB-213.5,L2,13.5,Углеродистая сталь 
,SLNB-214,L2,14,Углеродистая сталь 
,SLNB-215,L2,15,Углеродистая сталь 
,SLNB-216,L2,16,Углеродистая сталь 
,SLNB-217.2,L2,17.2,Углеродистая сталь 
,SLNB-218,L2,18,Углеродистая сталь 
,SLNB-319,L3,19,Углеродистая сталь 
,SLNB-320,L3,20,Углеродистая сталь 
,SLNB-321.3,L3,21.3,Углеродистая сталь 
,SLNB-322,L3,22,Углеродистая сталь 
,SLNB-325,L3,25,Углеродистая сталь 
,SLNB-426.9,L4,26.9,Углеродистая сталь 
,SLNB-428,L4,28,Углеродистая сталь 
,SLNB-430,L4,30,Углеродистая сталь 
,SLNB-532,L5,32,Углеродистая сталь 
,SLNB-533.7,L5,33.7,Углеродистая сталь 
,SLNB-535,L5,35,Углеродистая сталь 
,SLNB-538,L5,38,Углеродистая сталь 
,SLNB-540,L5,40,Углеродистая сталь 
,SLNB-542,L5,42,Углеродистая сталь 
,SLNB-644.5,L6,44.5,Углеродистая сталь 
,SLNB-648.3,L6,48.3,Углеродистая сталь 
,SLNB-650.8,L6,50.8,Углеродистая сталь 
,SLNB-757.2,L7,57.2,Углеродистая сталь 
,SLNB-760.3,L7,60.3,Углеродистая сталь 
,SLNB-763.5,L7,63.5,Углеродистая сталь 
,SLNB-770,L7,70,Углеродистая сталь 
,SLNB-773,L7,73,Углеродистая сталь 
,SLNB-776.1,L7,76.1,Углеродистая сталь 
,SLNB-888.9,L8,88.9,Углеродистая сталь 
,SLNB-8102,L8,102,Углеродистая сталь 
,SLNB-106S,L1,6,Нержавеющая сталь 
,SLNB-106.4S,L1,6.4,Нержавеющая сталь 
,SLNB-108S,L1,8,Нержавеющая сталь 
,SLNB-109.5S,L1,9.5,Нержавеющая сталь 
,SLNB-110S,L1,10,Нержавеющая сталь 
,SLNB-112S,L1,12,Нержавеющая сталь 
,SLNB-212.7S,L2,12.7,Нержавеющая сталь 
,SLNB-213.5S,L2,13.5,Нержавеющая сталь 
,SLNB-214S,L2,14,Нержавеющая сталь 
,SLNB-215S,L2,15,Нержавеющая сталь 
,SLNB-216S,L2,16,Нержавеющая сталь 
,SLNB-217.2S,L2,17.2,Нержавеющая сталь 
,SLNB-218S,L2,18,Нержавеющая сталь 
,SLNB-319S,L3,19,Нержавеющая сталь 
,SLNB-320S,L3,20,Нержавеющая сталь 
,SLNB-321.3S,L3,21.3,Нержавеющая сталь 
,SLNB-322S,L3,22,Нержавеющая сталь 
,SLNB-325S,L3,25,Нержавеющая сталь 
,SLNB-426.9S,L4,26.9,Нержавеющая сталь 
,SLNB-428S,L4,28,Нержавеющая сталь 
,SLNB-430S,L4,30,Нержавеющая сталь 
,SLNB-532S,L5,32,Нержавеющая сталь 
,SLNB-533.7S,L5,33.7,Нержавеющая сталь 
,SLNB-535S,L5,35,Нержавеющая сталь 
,SLNB-538S,L5,38,Нержавеющая сталь 
,SLNB-540S,L5,40,Нержавеющая сталь 
,SLNB-542S,L5,42,Нержавеющая сталь 
,SLNB-644.5S,L6,44.5,Нержавеющая сталь 
,SLNB-648.3S,L6,48.3,Нержавеющая сталь 
,SLNB-650.8S,L6,50.8,Нержавеющая сталь 
,SLNB-757.2S,L7,57.2,Нержавеющая сталь 
,SLNB-760.3S,L7,60.3,Нержавеющая сталь 
,SLNB-763.5S,L7,63.5,Нержавеющая сталь 
,SLNB-770S,L7,70,Нержавеющая сталь 
,SLNB-773S,L7,73,Нержавеющая сталь 
,SLNB-776.1S,L7,76.1,Нержавеющая сталь 
,SLNB-888.9S,L8,88.9,Нержавеющая сталь 
,SLNB-8102S,L8,102,Нержавеющая сталь 
