#,Заказной код,Параметр:Заказной код:Размер полимерной трубы,Параметр:Заказной код:Давление: Рабочее/Разрыва
,"Фторопластовая PTFE труба 2х0,5мм","2х0,5",10/120 бар
,Фторопластовая PTFE труба 3х1мм,3х1,10/240 бар
,"Фторопластовая PTFE труба 3,5х1мм","3,5х1",10/160 бар
,Фторопластовая PTFE труба 4х1мм,4х1,10/120 бар
,Фторопластовая PTFE труба 5х1мм,5х1,10/80 бар
,Фторопластовая PTFE труба 6х1мм,6х1,15/60 бар
,Фторопластовая PTFE труба 6х1.5мм,6х1.5,15/60 бар
,Фторопластовая PTFE труба 8x1мм,8x1,10/40 бар
,Фторопластовая PTFE труба 10x1мм,10x1,8/30 бар
,"Фторопластовая PTFE труба 10х1,5мм","10х1,5",8/50 бар
,Фторопластовая PTFE труба 10х2мм,10х2,8/80 бар
,Фторопластовая PTFE труба 12x1мм,12x1,8/20 бар
,"Фторопластовая PTFE труба 12x1мм, синяя",12x1,8/20 бар
,"Фторопластовая PTFE труба 12x1мм, красная",12x1,8/20 бар
,Фторопластовая PTFE труба 12х2мм,12х2,8/60 бар
,Фторопластовая PTFE труба 14х1мм,14х1,8/20 бар
,Фторопластовая PTFE труба 14х2мм,14х2,8/45 бар
,Фторопластовая PTFE труба 16х2мм,16х2,8/40 бар
,Фторопластовая PTFE трубка 18х1мм,18х1,8/15 бар
,Фторопластовая PTFE трубка 20х1мм,20х1,8/10 бар
,Фторопластовая PTFE трубка 20х2мм,20х2,8/30 бар
,Фторопластовая PTFE трубка 22х1мм,22х1,8/10 бар
,Фторопластовая PTFE трубка 22х2мм,22х2,8/25 бар
,Фторопластовая PTFE трубка 24х1мм,24х1,8/10 бар
,Фторопластовая PTFE трубка 24х2мм,24х2,8/20 бар
,"Фторопластовая PTFE трубка 25х1,5мм","25х1,5",8/15 бар
,"Фторопластовая PTFE трубка 28х1,5мм","28х1,5",8/10 бар
,Фторопластовая PTFE трубка 30х1мм,30х1,3/5 бар
,Фторопластовая PTFE трубка 32х1мм,32х1,3/5 бар
,"Фторопластовая PTFE трубка 35х1,5мм","35х1,5",5/10 бар
,Фторопластовая PTFE трубка 36х2мм,36х2,8/15 бар
,Фторопластовая PTFE трубка 38х1мм,38х1,3/5 бар
,Фторопластовая PTFE трубка 40х2мм,40х2,5/10 бар
,Фторопластовая PTFE трубка 42х1мм,42х1,3/5 бар
