#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLJ-106,L1,6,Углеродистая сталь 
,SLLJ-106.4,L1,6.4,Углеродистая сталь 
,SLLJ-108,L1,8,Углеродистая сталь 
,SLLJ-109.5,L1,9.5,Углеродистая сталь 
,SLLJ-110,L1,10,Углеродистая сталь 
,SLLJ-112,L1,12,Углеродистая сталь 
,SLLJ-212.7,L2,12.7,Углеродистая сталь 
,SLLJ-213.5,L2,13.5,Углеродистая сталь 
,SLLJ-214,L2,14,Углеродистая сталь 
,SLLJ-215,L2,15,Углеродистая сталь 
,SLLJ-216,L2,16,Углеродистая сталь 
,SLLJ-217.2,L2,17.2,Углеродистая сталь 
,SLLJ-218,L2,18,Углеродистая сталь 
,SLLJ-319,L3,19,Углеродистая сталь 
,SLLJ-320,L3,20,Углеродистая сталь 
,SLLJ-321.3,L3,21.3,Углеродистая сталь 
,SLLJ-322,L3,22,Углеродистая сталь 
,SLLJ-325,L3,25,Углеродистая сталь 
,SLLJ-426.9,L4,26.9,Углеродистая сталь 
,SLLJ-428,L4,28,Углеродистая сталь 
,SLLJ-430,L4,30,Углеродистая сталь 
,SLLJ-532,L5,32,Углеродистая сталь 
,SLLJ-533.7,L5,33.7,Углеродистая сталь 
,SLLJ-535,L5,35,Углеродистая сталь 
,SLLJ-538,L5,38,Углеродистая сталь 
,SLLJ-540,L5,40,Углеродистая сталь 
,SLLJ-542,L5,42,Углеродистая сталь 
,SLLJ-644.5,L6,44.5,Углеродистая сталь 
,SLLJ-648.3,L6,48.3,Углеродистая сталь 
,SLLJ-650.8,L6,50.8,Углеродистая сталь 
,SLLJ-757.2,L7,57.2,Углеродистая сталь 
,SLLJ-760.3,L7,60.3,Углеродистая сталь 
,SLLJ-763.5,L7,63.5,Углеродистая сталь 
,SLLJ-770,L7,70,Углеродистая сталь 
,SLLJ-773,L7,73,Углеродистая сталь 
,SLLJ-776.1,L7,76.1,Углеродистая сталь 
,SLLJ-888.9,L8,88.9,Углеродистая сталь 
,SLLJ-8102,L8,102,Углеродистая сталь 
,SLLJ-106S,L1,6,Нержавеющая сталь 
,SLLJ-106.4S,L1,6.4,Нержавеющая сталь 
,SLLJ-108S,L1,8,Нержавеющая сталь 
,SLLJ-109.5S,L1,9.5,Нержавеющая сталь 
,SLLJ-110S,L1,10,Нержавеющая сталь 
,SLLJ-112S,L1,12,Нержавеющая сталь 
,SLLJ-212.7S,L2,12.7,Нержавеющая сталь 
,SLLJ-213.5S,L2,13.5,Нержавеющая сталь 
,SLLJ-214S,L2,14,Нержавеющая сталь 
,SLLJ-215S,L2,15,Нержавеющая сталь 
,SLLJ-216S,L2,16,Нержавеющая сталь 
,SLLJ-217.2S,L2,17.2,Нержавеющая сталь 
,SLLJ-218S,L2,18,Нержавеющая сталь 
,SLLJ-319S,L3,19,Нержавеющая сталь 
,SLLJ-320S,L3,20,Нержавеющая сталь 
,SLLJ-321.3S,L3,21.3,Нержавеющая сталь 
,SLLJ-322S,L3,22,Нержавеющая сталь 
,SLLJ-325S,L3,25,Нержавеющая сталь 
,SLLJ-426.9S,L4,26.9,Нержавеющая сталь 
,SLLJ-428S,L4,28,Нержавеющая сталь 
,SLLJ-430S,L4,30,Нержавеющая сталь 
,SLLJ-532S,L5,32,Нержавеющая сталь 
,SLLJ-533.7S,L5,33.7,Нержавеющая сталь 
,SLLJ-535S,L5,35,Нержавеющая сталь 
,SLLJ-538S,L5,38,Нержавеющая сталь 
,SLLJ-540S,L5,40,Нержавеющая сталь 
,SLLJ-542S,L5,42,Нержавеющая сталь 
,SLLJ-644.5S,L6,44.5,Нержавеющая сталь 
,SLLJ-648.3S,L6,48.3,Нержавеющая сталь 
,SLLJ-650.8S,L6,50.8,Нержавеющая сталь 
,SLLJ-757.2S,L7,57.2,Нержавеющая сталь 
,SLLJ-760.3S,L7,60.3,Нержавеющая сталь 
,SLLJ-763.5S,L7,63.5,Нержавеющая сталь 
,SLLJ-770S,L7,70,Нержавеющая сталь 
,SLLJ-773S,L7,73,Нержавеющая сталь 
,SLLJ-776.1S,L7,76.1,Нержавеющая сталь 
,SLLJ-888.9S,L8,88.9,Нержавеющая сталь 
,SLLJ-8102S,L8,102,Нержавеющая сталь 
