#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPF-106,L1,6,Углеродистая сталь 
,SLPF-106.4,L1,6.4,Углеродистая сталь 
,SLPF-108,L1,8,Углеродистая сталь 
,SLPF-109.5,L1,9.5,Углеродистая сталь 
,SLPF-110,L1,10,Углеродистая сталь 
,SLPF-112,L1,12,Углеродистая сталь 
,SLPF-212.7,L2,12.7,Углеродистая сталь 
,SLPF-213.5,L2,13.5,Углеродистая сталь 
,SLPF-214,L2,14,Углеродистая сталь 
,SLPF-215,L2,15,Углеродистая сталь 
,SLPF-216,L2,16,Углеродистая сталь 
,SLPF-217.2,L2,17.2,Углеродистая сталь 
,SLPF-218,L2,18,Углеродистая сталь 
,SLPF-319,L3,19,Углеродистая сталь 
,SLPF-320,L3,20,Углеродистая сталь 
,SLPF-321.3,L3,21.3,Углеродистая сталь 
,SLPF-322,L3,22,Углеродистая сталь 
,SLPF-325,L3,25,Углеродистая сталь 
,SLPF-426.9,L4,26.9,Углеродистая сталь 
,SLPF-428,L4,28,Углеродистая сталь 
,SLPF-430,L4,30,Углеродистая сталь 
,SLPF-532,L5,32,Углеродистая сталь 
,SLPF-533.7,L5,33.7,Углеродистая сталь 
,SLPF-535,L5,35,Углеродистая сталь 
,SLPF-538,L5,38,Углеродистая сталь 
,SLPF-540,L5,40,Углеродистая сталь 
,SLPF-542,L5,42,Углеродистая сталь 
,SLPF-644.5,L6,44.5,Углеродистая сталь 
,SLPF-648.3,L6,48.3,Углеродистая сталь 
,SLPF-650.8,L6,50.8,Углеродистая сталь 
,SLPF-757.2,L7,57.2,Углеродистая сталь 
,SLPF-760.3,L7,60.3,Углеродистая сталь 
,SLPF-763.5,L7,63.5,Углеродистая сталь 
,SLPF-770,L7,70,Углеродистая сталь 
,SLPF-773,L7,73,Углеродистая сталь 
,SLPF-776.1,L7,76.1,Углеродистая сталь 
,SLPF-888.9,L8,88.9,Углеродистая сталь 
,SLPF-8102,L8,102,Углеродистая сталь 
,SLPF-106S,L1,6,Нержавеющая сталь 
,SLPF-106.4S,L1,6.4,Нержавеющая сталь 
,SLPF-108S,L1,8,Нержавеющая сталь 
,SLPF-109.5S,L1,9.5,Нержавеющая сталь 
,SLPF-110S,L1,10,Нержавеющая сталь 
,SLPF-112S,L1,12,Нержавеющая сталь 
,SLPF-212.7S,L2,12.7,Нержавеющая сталь 
,SLPF-213.5S,L2,13.5,Нержавеющая сталь 
,SLPF-214S,L2,14,Нержавеющая сталь 
,SLPF-215S,L2,15,Нержавеющая сталь 
,SLPF-216S,L2,16,Нержавеющая сталь 
,SLPF-217.2S,L2,17.2,Нержавеющая сталь 
,SLPF-218S,L2,18,Нержавеющая сталь 
,SLPF-319S,L3,19,Нержавеющая сталь 
,SLPF-320S,L3,20,Нержавеющая сталь 
,SLPF-321.3S,L3,21.3,Нержавеющая сталь 
,SLPF-322S,L3,22,Нержавеющая сталь 
,SLPF-325S,L3,25,Нержавеющая сталь 
,SLPF-426.9S,L4,26.9,Нержавеющая сталь 
,SLPF-428S,L4,28,Нержавеющая сталь 
,SLPF-430S,L4,30,Нержавеющая сталь 
,SLPF-532S,L5,32,Нержавеющая сталь 
,SLPF-533.7S,L5,33.7,Нержавеющая сталь 
,SLPF-535S,L5,35,Нержавеющая сталь 
,SLPF-538S,L5,38,Нержавеющая сталь 
,SLPF-540S,L5,40,Нержавеющая сталь 
,SLPF-542S,L5,42,Нержавеющая сталь 
,SLPF-644.5S,L6,44.5,Нержавеющая сталь 
,SLPF-648.3S,L6,48.3,Нержавеющая сталь 
,SLPF-650.8S,L6,50.8,Нержавеющая сталь 
,SLPF-757.2S,L7,57.2,Нержавеющая сталь 
,SLPF-760.3S,L7,60.3,Нержавеющая сталь 
,SLPF-763.5S,L7,63.5,Нержавеющая сталь 
,SLPF-770S,L7,70,Нержавеющая сталь 
,SLPF-773S,L7,73,Нержавеющая сталь 
,SLPF-776.1S,L7,76.1,Нержавеющая сталь 
,SLPF-888.9S,L8,88.9,Нержавеющая сталь 
,SLPF-8102S,L8,102,Нержавеющая сталь 
