#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLL-106,T1,6,Углеродистая сталь 
,STLL-106.4,T1,6.4,Углеродистая сталь 
,STLL-108,T1,8,Углеродистая сталь 
,STLL-109.5,T1,9.5,Углеродистая сталь 
,STLL-110,T1,10,Углеродистая сталь 
,STLL-112,T1,12,Углеродистая сталь 
,STLL-212.7,T2,12.7,Углеродистая сталь 
,STLL-213.5,T2,13.5,Углеродистая сталь 
,STLL-214,T2,14,Углеродистая сталь 
,STLL-215,T2,15,Углеродистая сталь 
,STLL-216,T2,16,Углеродистая сталь 
,STLL-217.2,T2,17.2,Углеродистая сталь 
,STLL-218,T2,18,Углеродистая сталь 
,STLL-319,T3,19,Углеродистая сталь 
,STLL-320,T3,20,Углеродистая сталь 
,STLL-321.3,T3,21.3,Углеродистая сталь 
,STLL-322,T3,22,Углеродистая сталь 
,STLL-325,T3,25,Углеродистая сталь 
,STLL-426.9,T4,26.9,Углеродистая сталь 
,STLL-428,T4,28,Углеродистая сталь 
,STLL-430,T4,30,Углеродистая сталь 
,STLL-532,T5,32,Углеродистая сталь 
,STLL-533.7,T5,33.7,Углеродистая сталь 
,STLL-535,T5,35,Углеродистая сталь 
,STLL-538,T5,38,Углеродистая сталь 
,STLL-540,T5,40,Углеродистая сталь 
,STLL-542,T5,42,Углеродистая сталь 
,STLL-106S,T1,6,Нержавеющая сталь 
,STLL-106.4S,T1,6.4,Нержавеющая сталь 
,STLL-108S,T1,8,Нержавеющая сталь 
,STLL-109.5S,T1,9.5,Нержавеющая сталь 
,STLL-110S,T1,10,Нержавеющая сталь 
,STLL-112S,T1,12,Нержавеющая сталь 
,STLL-212.7S,T2,12.7,Нержавеющая сталь 
,STLL-213.5S,T2,13.5,Нержавеющая сталь 
,STLL-214S,T2,14,Нержавеющая сталь 
,STLL-215S,T2,15,Нержавеющая сталь 
,STLL-216S,T2,16,Нержавеющая сталь 
,STLL-217.2S,T2,17.2,Нержавеющая сталь 
,STLL-218S,T2,18,Нержавеющая сталь 
,STLL-319S,T3,19,Нержавеющая сталь 
,STLL-320S,T3,20,Нержавеющая сталь 
,STLL-321.3S,T3,21.3,Нержавеющая сталь 
,STLL-322S,T3,22,Нержавеющая сталь 
,STLL-325S,T3,25,Нержавеющая сталь 
,STLL-426.9S,T4,26.9,Нержавеющая сталь 
,STLL-428S,T4,28,Нержавеющая сталь 
,STLL-430S,T4,30,Нержавеющая сталь 
,STLL-532S,T5,32,Нержавеющая сталь 
,STLL-533.7S,T5,33.7,Нержавеющая сталь 
,STLL-535S,T5,35,Нержавеющая сталь 
,STLL-538S,T5,38,Нержавеющая сталь 
,STLL-540S,T5,40,Нержавеющая сталь 
,STLL-542S,T5,42,Нержавеющая сталь 
