#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPL-106,T1,6,Углеродистая сталь 
,STPL-106.4,T1,6.4,Углеродистая сталь 
,STPL-108,T1,8,Углеродистая сталь 
,STPL-109.5,T1,9.5,Углеродистая сталь 
,STPL-110,T1,10,Углеродистая сталь 
,STPL-112,T1,12,Углеродистая сталь 
,STPL-212.7,T2,12.7,Углеродистая сталь 
,STPL-213.5,T2,13.5,Углеродистая сталь 
,STPL-214,T2,14,Углеродистая сталь 
,STPL-215,T2,15,Углеродистая сталь 
,STPL-216,T2,16,Углеродистая сталь 
,STPL-217.2,T2,17.2,Углеродистая сталь 
,STPL-218,T2,18,Углеродистая сталь 
,STPL-319,T3,19,Углеродистая сталь 
,STPL-320,T3,20,Углеродистая сталь 
,STPL-321.3,T3,21.3,Углеродистая сталь 
,STPL-322,T3,22,Углеродистая сталь 
,STPL-325,T3,25,Углеродистая сталь 
,STPL-426.9,T4,26.9,Углеродистая сталь 
,STPL-428,T4,28,Углеродистая сталь 
,STPL-430,T4,30,Углеродистая сталь 
,STPL-532,T5,32,Углеродистая сталь 
,STPL-533.7,T5,33.7,Углеродистая сталь 
,STPL-535,T5,35,Углеродистая сталь 
,STPL-538,T5,38,Углеродистая сталь 
,STPL-540,T5,40,Углеродистая сталь 
,STPL-542,T5,42,Углеродистая сталь 
,STPL-106S,T1,6,Нержавеющая сталь 
,STPL-106.4S,T1,6.4,Нержавеющая сталь 
,STPL-108S,T1,8,Нержавеющая сталь 
,STPL-109.5S,T1,9.5,Нержавеющая сталь 
,STPL-110S,T1,10,Нержавеющая сталь 
,STPL-112S,T1,12,Нержавеющая сталь 
,STPL-212.7S,T2,12.7,Нержавеющая сталь 
,STPL-213.5S,T2,13.5,Нержавеющая сталь 
,STPL-214S,T2,14,Нержавеющая сталь 
,STPL-215S,T2,15,Нержавеющая сталь 
,STPL-216S,T2,16,Нержавеющая сталь 
,STPL-217.2S,T2,17.2,Нержавеющая сталь 
,STPL-218S,T2,18,Нержавеющая сталь 
,STPL-319S,T3,19,Нержавеющая сталь 
,STPL-320S,T3,20,Нержавеющая сталь 
,STPL-321.3S,T3,21.3,Нержавеющая сталь 
,STPL-322S,T3,22,Нержавеющая сталь 
,STPL-325S,T3,25,Нержавеющая сталь 
,STPL-426.9S,T4,26.9,Нержавеющая сталь 
,STPL-428S,T4,28,Нержавеющая сталь 
,STPL-430S,T4,30,Нержавеющая сталь 
,STPL-532S,T5,32,Нержавеющая сталь 
,STPL-533.7S,T5,33.7,Нержавеющая сталь 
,STPL-535S,T5,35,Нержавеющая сталь 
,STPL-538S,T5,38,Нержавеющая сталь 
,STPL-540S,T5,40,Нержавеющая сталь 
,STPL-542S,T5,42,Нержавеющая сталь 
