#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPH-106,L1,6,Углеродистая сталь 
,SLPH-106.4,L1,6.4,Углеродистая сталь 
,SLPH-108,L1,8,Углеродистая сталь 
,SLPH-109.5,L1,9.5,Углеродистая сталь 
,SLPH-110,L1,10,Углеродистая сталь 
,SLPH-112,L1,12,Углеродистая сталь 
,SLPH-212.7,L2,12.7,Углеродистая сталь 
,SLPH-213.5,L2,13.5,Углеродистая сталь 
,SLPH-214,L2,14,Углеродистая сталь 
,SLPH-215,L2,15,Углеродистая сталь 
,SLPH-216,L2,16,Углеродистая сталь 
,SLPH-217.2,L2,17.2,Углеродистая сталь 
,SLPH-218,L2,18,Углеродистая сталь 
,SLPH-319,L3,19,Углеродистая сталь 
,SLPH-320,L3,20,Углеродистая сталь 
,SLPH-321.3,L3,21.3,Углеродистая сталь 
,SLPH-322,L3,22,Углеродистая сталь 
,SLPH-325,L3,25,Углеродистая сталь 
,SLPH-426.9,L4,26.9,Углеродистая сталь 
,SLPH-428,L4,28,Углеродистая сталь 
,SLPH-430,L4,30,Углеродистая сталь 
,SLPH-532,L5,32,Углеродистая сталь 
,SLPH-533.7,L5,33.7,Углеродистая сталь 
,SLPH-535,L5,35,Углеродистая сталь 
,SLPH-538,L5,38,Углеродистая сталь 
,SLPH-540,L5,40,Углеродистая сталь 
,SLPH-542,L5,42,Углеродистая сталь 
,SLPH-644.5,L6,44.5,Углеродистая сталь 
,SLPH-648.3,L6,48.3,Углеродистая сталь 
,SLPH-650.8,L6,50.8,Углеродистая сталь 
,SLPH-757.2,L7,57.2,Углеродистая сталь 
,SLPH-760.3,L7,60.3,Углеродистая сталь 
,SLPH-763.5,L7,63.5,Углеродистая сталь 
,SLPH-770,L7,70,Углеродистая сталь 
,SLPH-773,L7,73,Углеродистая сталь 
,SLPH-776.1,L7,76.1,Углеродистая сталь 
,SLPH-888.9,L8,88.9,Углеродистая сталь 
,SLPH-8102,L8,102,Углеродистая сталь 
,SLPH-106S,L1,6,Нержавеющая сталь 
,SLPH-106.4S,L1,6.4,Нержавеющая сталь 
,SLPH-108S,L1,8,Нержавеющая сталь 
,SLPH-109.5S,L1,9.5,Нержавеющая сталь 
,SLPH-110S,L1,10,Нержавеющая сталь 
,SLPH-112S,L1,12,Нержавеющая сталь 
,SLPH-212.7S,L2,12.7,Нержавеющая сталь 
,SLPH-213.5S,L2,13.5,Нержавеющая сталь 
,SLPH-214S,L2,14,Нержавеющая сталь 
,SLPH-215S,L2,15,Нержавеющая сталь 
,SLPH-216S,L2,16,Нержавеющая сталь 
,SLPH-217.2S,L2,17.2,Нержавеющая сталь 
,SLPH-218S,L2,18,Нержавеющая сталь 
,SLPH-319S,L3,19,Нержавеющая сталь 
,SLPH-320S,L3,20,Нержавеющая сталь 
,SLPH-321.3S,L3,21.3,Нержавеющая сталь 
,SLPH-322S,L3,22,Нержавеющая сталь 
,SLPH-325S,L3,25,Нержавеющая сталь 
,SLPH-426.9S,L4,26.9,Нержавеющая сталь 
,SLPH-428S,L4,28,Нержавеющая сталь 
,SLPH-430S,L4,30,Нержавеющая сталь 
,SLPH-532S,L5,32,Нержавеющая сталь 
,SLPH-533.7S,L5,33.7,Нержавеющая сталь 
,SLPH-535S,L5,35,Нержавеющая сталь 
,SLPH-538S,L5,38,Нержавеющая сталь 
,SLPH-540S,L5,40,Нержавеющая сталь 
,SLPH-542S,L5,42,Нержавеющая сталь 
,SLPH-644.5S,L6,44.5,Нержавеющая сталь 
,SLPH-648.3S,L6,48.3,Нержавеющая сталь 
,SLPH-650.8S,L6,50.8,Нержавеющая сталь 
,SLPH-757.2S,L7,57.2,Нержавеющая сталь 
,SLPH-760.3S,L7,60.3,Нержавеющая сталь 
,SLPH-763.5S,L7,63.5,Нержавеющая сталь 
,SLPH-770S,L7,70,Нержавеющая сталь 
,SLPH-773S,L7,73,Нержавеющая сталь 
,SLPH-776.1S,L7,76.1,Нержавеющая сталь 
,SLPH-888.9S,L8,88.9,Нержавеющая сталь 
,SLPH-8102S,L8,102,Нержавеющая сталь 
