#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNC-106,T1,6,Углеродистая сталь 
,STNC-106.4,T1,6.4,Углеродистая сталь 
,STNC-108,T1,8,Углеродистая сталь 
,STNC-109.5,T1,9.5,Углеродистая сталь 
,STNC-110,T1,10,Углеродистая сталь 
,STNC-112,T1,12,Углеродистая сталь 
,STNC-212.7,T2,12.7,Углеродистая сталь 
,STNC-213.5,T2,13.5,Углеродистая сталь 
,STNC-214,T2,14,Углеродистая сталь 
,STNC-215,T2,15,Углеродистая сталь 
,STNC-216,T2,16,Углеродистая сталь 
,STNC-217.2,T2,17.2,Углеродистая сталь 
,STNC-218,T2,18,Углеродистая сталь 
,STNC-319,T3,19,Углеродистая сталь 
,STNC-320,T3,20,Углеродистая сталь 
,STNC-321.3,T3,21.3,Углеродистая сталь 
,STNC-322,T3,22,Углеродистая сталь 
,STNC-325,T3,25,Углеродистая сталь 
,STNC-426.9,T4,26.9,Углеродистая сталь 
,STNC-428,T4,28,Углеродистая сталь 
,STNC-430,T4,30,Углеродистая сталь 
,STNC-532,T5,32,Углеродистая сталь 
,STNC-533.7,T5,33.7,Углеродистая сталь 
,STNC-535,T5,35,Углеродистая сталь 
,STNC-538,T5,38,Углеродистая сталь 
,STNC-540,T5,40,Углеродистая сталь 
,STNC-542,T5,42,Углеродистая сталь 
,STNC-106S,T1,6,Нержавеющая сталь 
,STNC-106.4S,T1,6.4,Нержавеющая сталь 
,STNC-108S,T1,8,Нержавеющая сталь 
,STNC-109.5S,T1,9.5,Нержавеющая сталь 
,STNC-110S,T1,10,Нержавеющая сталь 
,STNC-112S,T1,12,Нержавеющая сталь 
,STNC-212.7S,T2,12.7,Нержавеющая сталь 
,STNC-213.5S,T2,13.5,Нержавеющая сталь 
,STNC-214S,T2,14,Нержавеющая сталь 
,STNC-215S,T2,15,Нержавеющая сталь 
,STNC-216S,T2,16,Нержавеющая сталь 
,STNC-217.2S,T2,17.2,Нержавеющая сталь 
,STNC-218S,T2,18,Нержавеющая сталь 
,STNC-319S,T3,19,Нержавеющая сталь 
,STNC-320S,T3,20,Нержавеющая сталь 
,STNC-321.3S,T3,21.3,Нержавеющая сталь 
,STNC-322S,T3,22,Нержавеющая сталь 
,STNC-325S,T3,25,Нержавеющая сталь 
,STNC-426.9S,T4,26.9,Нержавеющая сталь 
,STNC-428S,T4,28,Нержавеющая сталь 
,STNC-430S,T4,30,Нержавеющая сталь 
,STNC-532S,T5,32,Нержавеющая сталь 
,STNC-533.7S,T5,33.7,Нержавеющая сталь 
,STNC-535S,T5,35,Нержавеющая сталь 
,STNC-538S,T5,38,Нержавеющая сталь 
,STNC-540S,T5,40,Нержавеющая сталь 
,STNC-542S,T5,42,Нержавеющая сталь 
