#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNR-106,T1,6,Углеродистая сталь 
,STNR-106.4,T1,6.4,Углеродистая сталь 
,STNR-108,T1,8,Углеродистая сталь 
,STNR-109.5,T1,9.5,Углеродистая сталь 
,STNR-110,T1,10,Углеродистая сталь 
,STNR-112,T1,12,Углеродистая сталь 
,STNR-212.7,T2,12.7,Углеродистая сталь 
,STNR-213.5,T2,13.5,Углеродистая сталь 
,STNR-214,T2,14,Углеродистая сталь 
,STNR-215,T2,15,Углеродистая сталь 
,STNR-216,T2,16,Углеродистая сталь 
,STNR-217.2,T2,17.2,Углеродистая сталь 
,STNR-218,T2,18,Углеродистая сталь 
,STNR-319,T3,19,Углеродистая сталь 
,STNR-320,T3,20,Углеродистая сталь 
,STNR-321.3,T3,21.3,Углеродистая сталь 
,STNR-322,T3,22,Углеродистая сталь 
,STNR-325,T3,25,Углеродистая сталь 
,STNR-426.9,T4,26.9,Углеродистая сталь 
,STNR-428,T4,28,Углеродистая сталь 
,STNR-430,T4,30,Углеродистая сталь 
,STNR-532,T5,32,Углеродистая сталь 
,STNR-533.7,T5,33.7,Углеродистая сталь 
,STNR-535,T5,35,Углеродистая сталь 
,STNR-538,T5,38,Углеродистая сталь 
,STNR-540,T5,40,Углеродистая сталь 
,STNR-542,T5,42,Углеродистая сталь 
,STNR-106S,T1,6,Нержавеющая сталь 
,STNR-106.4S,T1,6.4,Нержавеющая сталь 
,STNR-108S,T1,8,Нержавеющая сталь 
,STNR-109.5S,T1,9.5,Нержавеющая сталь 
,STNR-110S,T1,10,Нержавеющая сталь 
,STNR-112S,T1,12,Нержавеющая сталь 
,STNR-212.7S,T2,12.7,Нержавеющая сталь 
,STNR-213.5S,T2,13.5,Нержавеющая сталь 
,STNR-214S,T2,14,Нержавеющая сталь 
,STNR-215S,T2,15,Нержавеющая сталь 
,STNR-216S,T2,16,Нержавеющая сталь 
,STNR-217.2S,T2,17.2,Нержавеющая сталь 
,STNR-218S,T2,18,Нержавеющая сталь 
,STNR-319S,T3,19,Нержавеющая сталь 
,STNR-320S,T3,20,Нержавеющая сталь 
,STNR-321.3S,T3,21.3,Нержавеющая сталь 
,STNR-322S,T3,22,Нержавеющая сталь 
,STNR-325S,T3,25,Нержавеющая сталь 
,STNR-426.9S,T4,26.9,Нержавеющая сталь 
,STNR-428S,T4,28,Нержавеющая сталь 
,STNR-430S,T4,30,Нержавеющая сталь 
,STNR-532S,T5,32,Нержавеющая сталь 
,STNR-533.7S,T5,33.7,Нержавеющая сталь 
,STNR-535S,T5,35,Нержавеющая сталь 
,STNR-538S,T5,38,Нержавеющая сталь 
,STNR-540S,T5,40,Нержавеющая сталь 
,STNR-542S,T5,42,Нержавеющая сталь 
