#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPM-106,L1,6,Углеродистая сталь 
,SLPM-106.4,L1,6.4,Углеродистая сталь 
,SLPM-108,L1,8,Углеродистая сталь 
,SLPM-109.5,L1,9.5,Углеродистая сталь 
,SLPM-110,L1,10,Углеродистая сталь 
,SLPM-112,L1,12,Углеродистая сталь 
,SLPM-212.7,L2,12.7,Углеродистая сталь 
,SLPM-213.5,L2,13.5,Углеродистая сталь 
,SLPM-214,L2,14,Углеродистая сталь 
,SLPM-215,L2,15,Углеродистая сталь 
,SLPM-216,L2,16,Углеродистая сталь 
,SLPM-217.2,L2,17.2,Углеродистая сталь 
,SLPM-218,L2,18,Углеродистая сталь 
,SLPM-319,L3,19,Углеродистая сталь 
,SLPM-320,L3,20,Углеродистая сталь 
,SLPM-321.3,L3,21.3,Углеродистая сталь 
,SLPM-322,L3,22,Углеродистая сталь 
,SLPM-325,L3,25,Углеродистая сталь 
,SLPM-426.9,L4,26.9,Углеродистая сталь 
,SLPM-428,L4,28,Углеродистая сталь 
,SLPM-430,L4,30,Углеродистая сталь 
,SLPM-532,L5,32,Углеродистая сталь 
,SLPM-533.7,L5,33.7,Углеродистая сталь 
,SLPM-535,L5,35,Углеродистая сталь 
,SLPM-538,L5,38,Углеродистая сталь 
,SLPM-540,L5,40,Углеродистая сталь 
,SLPM-542,L5,42,Углеродистая сталь 
,SLPM-644.5,L6,44.5,Углеродистая сталь 
,SLPM-648.3,L6,48.3,Углеродистая сталь 
,SLPM-650.8,L6,50.8,Углеродистая сталь 
,SLPM-757.2,L7,57.2,Углеродистая сталь 
,SLPM-760.3,L7,60.3,Углеродистая сталь 
,SLPM-763.5,L7,63.5,Углеродистая сталь 
,SLPM-770,L7,70,Углеродистая сталь 
,SLPM-773,L7,73,Углеродистая сталь 
,SLPM-776.1,L7,76.1,Углеродистая сталь 
,SLPM-888.9,L8,88.9,Углеродистая сталь 
,SLPM-8102,L8,102,Углеродистая сталь 
,SLPM-106S,L1,6,Нержавеющая сталь 
,SLPM-106.4S,L1,6.4,Нержавеющая сталь 
,SLPM-108S,L1,8,Нержавеющая сталь 
,SLPM-109.5S,L1,9.5,Нержавеющая сталь 
,SLPM-110S,L1,10,Нержавеющая сталь 
,SLPM-112S,L1,12,Нержавеющая сталь 
,SLPM-212.7S,L2,12.7,Нержавеющая сталь 
,SLPM-213.5S,L2,13.5,Нержавеющая сталь 
,SLPM-214S,L2,14,Нержавеющая сталь 
,SLPM-215S,L2,15,Нержавеющая сталь 
,SLPM-216S,L2,16,Нержавеющая сталь 
,SLPM-217.2S,L2,17.2,Нержавеющая сталь 
,SLPM-218S,L2,18,Нержавеющая сталь 
,SLPM-319S,L3,19,Нержавеющая сталь 
,SLPM-320S,L3,20,Нержавеющая сталь 
,SLPM-321.3S,L3,21.3,Нержавеющая сталь 
,SLPM-322S,L3,22,Нержавеющая сталь 
,SLPM-325S,L3,25,Нержавеющая сталь 
,SLPM-426.9S,L4,26.9,Нержавеющая сталь 
,SLPM-428S,L4,28,Нержавеющая сталь 
,SLPM-430S,L4,30,Нержавеющая сталь 
,SLPM-532S,L5,32,Нержавеющая сталь 
,SLPM-533.7S,L5,33.7,Нержавеющая сталь 
,SLPM-535S,L5,35,Нержавеющая сталь 
,SLPM-538S,L5,38,Нержавеющая сталь 
,SLPM-540S,L5,40,Нержавеющая сталь 
,SLPM-542S,L5,42,Нержавеющая сталь 
,SLPM-644.5S,L6,44.5,Нержавеющая сталь 
,SLPM-648.3S,L6,48.3,Нержавеющая сталь 
,SLPM-650.8S,L6,50.8,Нержавеющая сталь 
,SLPM-757.2S,L7,57.2,Нержавеющая сталь 
,SLPM-760.3S,L7,60.3,Нержавеющая сталь 
,SLPM-763.5S,L7,63.5,Нержавеющая сталь 
,SLPM-770S,L7,70,Нержавеющая сталь 
,SLPM-773S,L7,73,Нержавеющая сталь 
,SLPM-776.1S,L7,76.1,Нержавеющая сталь 
,SLPM-888.9S,L8,88.9,Нержавеющая сталь 
,SLPM-8102S,L8,102,Нержавеющая сталь 
