#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPA-106,L1,6,Углеродистая сталь 
,SLPA-106.4,L1,6.4,Углеродистая сталь 
,SLPA-108,L1,8,Углеродистая сталь 
,SLPA-109.5,L1,9.5,Углеродистая сталь 
,SLPA-110,L1,10,Углеродистая сталь 
,SLPA-112,L1,12,Углеродистая сталь 
,SLPA-212.7,L2,12.7,Углеродистая сталь 
,SLPA-213.5,L2,13.5,Углеродистая сталь 
,SLPA-214,L2,14,Углеродистая сталь 
,SLPA-215,L2,15,Углеродистая сталь 
,SLPA-216,L2,16,Углеродистая сталь 
,SLPA-217.2,L2,17.2,Углеродистая сталь 
,SLPA-218,L2,18,Углеродистая сталь 
,SLPA-319,L3,19,Углеродистая сталь 
,SLPA-320,L3,20,Углеродистая сталь 
,SLPA-321.3,L3,21.3,Углеродистая сталь 
,SLPA-322,L3,22,Углеродистая сталь 
,SLPA-325,L3,25,Углеродистая сталь 
,SLPA-426.9,L4,26.9,Углеродистая сталь 
,SLPA-428,L4,28,Углеродистая сталь 
,SLPA-430,L4,30,Углеродистая сталь 
,SLPA-532,L5,32,Углеродистая сталь 
,SLPA-533.7,L5,33.7,Углеродистая сталь 
,SLPA-535,L5,35,Углеродистая сталь 
,SLPA-538,L5,38,Углеродистая сталь 
,SLPA-540,L5,40,Углеродистая сталь 
,SLPA-542,L5,42,Углеродистая сталь 
,SLPA-644.5,L6,44.5,Углеродистая сталь 
,SLPA-648.3,L6,48.3,Углеродистая сталь 
,SLPA-650.8,L6,50.8,Углеродистая сталь 
,SLPA-757.2,L7,57.2,Углеродистая сталь 
,SLPA-760.3,L7,60.3,Углеродистая сталь 
,SLPA-763.5,L7,63.5,Углеродистая сталь 
,SLPA-770,L7,70,Углеродистая сталь 
,SLPA-773,L7,73,Углеродистая сталь 
,SLPA-776.1,L7,76.1,Углеродистая сталь 
,SLPA-888.9,L8,88.9,Углеродистая сталь 
,SLPA-8102,L8,102,Углеродистая сталь 
,SLPA-106S,L1,6,Нержавеющая сталь 
,SLPA-106.4S,L1,6.4,Нержавеющая сталь 
,SLPA-108S,L1,8,Нержавеющая сталь 
,SLPA-109.5S,L1,9.5,Нержавеющая сталь 
,SLPA-110S,L1,10,Нержавеющая сталь 
,SLPA-112S,L1,12,Нержавеющая сталь 
,SLPA-212.7S,L2,12.7,Нержавеющая сталь 
,SLPA-213.5S,L2,13.5,Нержавеющая сталь 
,SLPA-214S,L2,14,Нержавеющая сталь 
,SLPA-215S,L2,15,Нержавеющая сталь 
,SLPA-216S,L2,16,Нержавеющая сталь 
,SLPA-217.2S,L2,17.2,Нержавеющая сталь 
,SLPA-218S,L2,18,Нержавеющая сталь 
,SLPA-319S,L3,19,Нержавеющая сталь 
,SLPA-320S,L3,20,Нержавеющая сталь 
,SLPA-321.3S,L3,21.3,Нержавеющая сталь 
,SLPA-322S,L3,22,Нержавеющая сталь 
,SLPA-325S,L3,25,Нержавеющая сталь 
,SLPA-426.9S,L4,26.9,Нержавеющая сталь 
,SLPA-428S,L4,28,Нержавеющая сталь 
,SLPA-430S,L4,30,Нержавеющая сталь 
,SLPA-532S,L5,32,Нержавеющая сталь 
,SLPA-533.7S,L5,33.7,Нержавеющая сталь 
,SLPA-535S,L5,35,Нержавеющая сталь 
,SLPA-538S,L5,38,Нержавеющая сталь 
,SLPA-540S,L5,40,Нержавеющая сталь 
,SLPA-542S,L5,42,Нержавеющая сталь 
,SLPA-644.5S,L6,44.5,Нержавеющая сталь 
,SLPA-648.3S,L6,48.3,Нержавеющая сталь 
,SLPA-650.8S,L6,50.8,Нержавеющая сталь 
,SLPA-757.2S,L7,57.2,Нержавеющая сталь 
,SLPA-760.3S,L7,60.3,Нержавеющая сталь 
,SLPA-763.5S,L7,63.5,Нержавеющая сталь 
,SLPA-770S,L7,70,Нержавеющая сталь 
,SLPA-773S,L7,73,Нержавеющая сталь 
,SLPA-776.1S,L7,76.1,Нержавеющая сталь 
,SLPA-888.9S,L8,88.9,Нержавеющая сталь 
,SLPA-8102S,L8,102,Нержавеющая сталь 
