#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLM-106,L1,6,Углеродистая сталь 
,SLLM-106.4,L1,6.4,Углеродистая сталь 
,SLLM-108,L1,8,Углеродистая сталь 
,SLLM-109.5,L1,9.5,Углеродистая сталь 
,SLLM-110,L1,10,Углеродистая сталь 
,SLLM-112,L1,12,Углеродистая сталь 
,SLLM-212.7,L2,12.7,Углеродистая сталь 
,SLLM-213.5,L2,13.5,Углеродистая сталь 
,SLLM-214,L2,14,Углеродистая сталь 
,SLLM-215,L2,15,Углеродистая сталь 
,SLLM-216,L2,16,Углеродистая сталь 
,SLLM-217.2,L2,17.2,Углеродистая сталь 
,SLLM-218,L2,18,Углеродистая сталь 
,SLLM-319,L3,19,Углеродистая сталь 
,SLLM-320,L3,20,Углеродистая сталь 
,SLLM-321.3,L3,21.3,Углеродистая сталь 
,SLLM-322,L3,22,Углеродистая сталь 
,SLLM-325,L3,25,Углеродистая сталь 
,SLLM-426.9,L4,26.9,Углеродистая сталь 
,SLLM-428,L4,28,Углеродистая сталь 
,SLLM-430,L4,30,Углеродистая сталь 
,SLLM-532,L5,32,Углеродистая сталь 
,SLLM-533.7,L5,33.7,Углеродистая сталь 
,SLLM-535,L5,35,Углеродистая сталь 
,SLLM-538,L5,38,Углеродистая сталь 
,SLLM-540,L5,40,Углеродистая сталь 
,SLLM-542,L5,42,Углеродистая сталь 
,SLLM-644.5,L6,44.5,Углеродистая сталь 
,SLLM-648.3,L6,48.3,Углеродистая сталь 
,SLLM-650.8,L6,50.8,Углеродистая сталь 
,SLLM-757.2,L7,57.2,Углеродистая сталь 
,SLLM-760.3,L7,60.3,Углеродистая сталь 
,SLLM-763.5,L7,63.5,Углеродистая сталь 
,SLLM-770,L7,70,Углеродистая сталь 
,SLLM-773,L7,73,Углеродистая сталь 
,SLLM-776.1,L7,76.1,Углеродистая сталь 
,SLLM-888.9,L8,88.9,Углеродистая сталь 
,SLLM-8102,L8,102,Углеродистая сталь 
,SLLM-106S,L1,6,Нержавеющая сталь 
,SLLM-106.4S,L1,6.4,Нержавеющая сталь 
,SLLM-108S,L1,8,Нержавеющая сталь 
,SLLM-109.5S,L1,9.5,Нержавеющая сталь 
,SLLM-110S,L1,10,Нержавеющая сталь 
,SLLM-112S,L1,12,Нержавеющая сталь 
,SLLM-212.7S,L2,12.7,Нержавеющая сталь 
,SLLM-213.5S,L2,13.5,Нержавеющая сталь 
,SLLM-214S,L2,14,Нержавеющая сталь 
,SLLM-215S,L2,15,Нержавеющая сталь 
,SLLM-216S,L2,16,Нержавеющая сталь 
,SLLM-217.2S,L2,17.2,Нержавеющая сталь 
,SLLM-218S,L2,18,Нержавеющая сталь 
,SLLM-319S,L3,19,Нержавеющая сталь 
,SLLM-320S,L3,20,Нержавеющая сталь 
,SLLM-321.3S,L3,21.3,Нержавеющая сталь 
,SLLM-322S,L3,22,Нержавеющая сталь 
,SLLM-325S,L3,25,Нержавеющая сталь 
,SLLM-426.9S,L4,26.9,Нержавеющая сталь 
,SLLM-428S,L4,28,Нержавеющая сталь 
,SLLM-430S,L4,30,Нержавеющая сталь 
,SLLM-532S,L5,32,Нержавеющая сталь 
,SLLM-533.7S,L5,33.7,Нержавеющая сталь 
,SLLM-535S,L5,35,Нержавеющая сталь 
,SLLM-538S,L5,38,Нержавеющая сталь 
,SLLM-540S,L5,40,Нержавеющая сталь 
,SLLM-542S,L5,42,Нержавеющая сталь 
,SLLM-644.5S,L6,44.5,Нержавеющая сталь 
,SLLM-648.3S,L6,48.3,Нержавеющая сталь 
,SLLM-650.8S,L6,50.8,Нержавеющая сталь 
,SLLM-757.2S,L7,57.2,Нержавеющая сталь 
,SLLM-760.3S,L7,60.3,Нержавеющая сталь 
,SLLM-763.5S,L7,63.5,Нержавеющая сталь 
,SLLM-770S,L7,70,Нержавеющая сталь 
,SLLM-773S,L7,73,Нержавеющая сталь 
,SLLM-776.1S,L7,76.1,Нержавеющая сталь 
,SLLM-888.9S,L8,88.9,Нержавеющая сталь 
,SLLM-8102S,L8,102,Нержавеющая сталь 
