#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPF-006,L0,6,Углеродистая сталь 
,SLPF-006.4,L0,6.4,Углеродистая сталь 
,SLPF-008,L0,8,Углеродистая сталь 
,SLPF-009.5,L0,9.5,Углеродистая сталь 
,SLPF-010,L0,10,Углеродистая сталь 
,SLPF-012,L0,12,Углеродистая сталь 
,SLPF-006S,L0,6,Нержавеющая сталь 
,SLPF-006.4S,L0,6.4,Нержавеющая сталь 
,SLPF-008S,L0,8,Нержавеющая сталь 
,SLPF-009.5S,L0,9.5,Нержавеющая сталь 
,SLPF-010S,L0,10,Нержавеющая сталь 
,SLPF-012S,L0,12,Нержавеющая сталь 
