#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLM-106,T1,6,Углеродистая сталь 
,STLM-106.4,T1,6.4,Углеродистая сталь 
,STLM-108,T1,8,Углеродистая сталь 
,STLM-109.5,T1,9.5,Углеродистая сталь 
,STLM-110,T1,10,Углеродистая сталь 
,STLM-112,T1,12,Углеродистая сталь 
,STLM-212.7,T2,12.7,Углеродистая сталь 
,STLM-213.5,T2,13.5,Углеродистая сталь 
,STLM-214,T2,14,Углеродистая сталь 
,STLM-215,T2,15,Углеродистая сталь 
,STLM-216,T2,16,Углеродистая сталь 
,STLM-217.2,T2,17.2,Углеродистая сталь 
,STLM-218,T2,18,Углеродистая сталь 
,STLM-319,T3,19,Углеродистая сталь 
,STLM-320,T3,20,Углеродистая сталь 
,STLM-321.3,T3,21.3,Углеродистая сталь 
,STLM-322,T3,22,Углеродистая сталь 
,STLM-325,T3,25,Углеродистая сталь 
,STLM-426.9,T4,26.9,Углеродистая сталь 
,STLM-428,T4,28,Углеродистая сталь 
,STLM-430,T4,30,Углеродистая сталь 
,STLM-532,T5,32,Углеродистая сталь 
,STLM-533.7,T5,33.7,Углеродистая сталь 
,STLM-535,T5,35,Углеродистая сталь 
,STLM-538,T5,38,Углеродистая сталь 
,STLM-540,T5,40,Углеродистая сталь 
,STLM-542,T5,42,Углеродистая сталь 
,STLM-106S,T1,6,Нержавеющая сталь 
,STLM-106.4S,T1,6.4,Нержавеющая сталь 
,STLM-108S,T1,8,Нержавеющая сталь 
,STLM-109.5S,T1,9.5,Нержавеющая сталь 
,STLM-110S,T1,10,Нержавеющая сталь 
,STLM-112S,T1,12,Нержавеющая сталь 
,STLM-212.7S,T2,12.7,Нержавеющая сталь 
,STLM-213.5S,T2,13.5,Нержавеющая сталь 
,STLM-214S,T2,14,Нержавеющая сталь 
,STLM-215S,T2,15,Нержавеющая сталь 
,STLM-216S,T2,16,Нержавеющая сталь 
,STLM-217.2S,T2,17.2,Нержавеющая сталь 
,STLM-218S,T2,18,Нержавеющая сталь 
,STLM-319S,T3,19,Нержавеющая сталь 
,STLM-320S,T3,20,Нержавеющая сталь 
,STLM-321.3S,T3,21.3,Нержавеющая сталь 
,STLM-322S,T3,22,Нержавеющая сталь 
,STLM-325S,T3,25,Нержавеющая сталь 
,STLM-426.9S,T4,26.9,Нержавеющая сталь 
,STLM-428S,T4,28,Нержавеющая сталь 
,STLM-430S,T4,30,Нержавеющая сталь 
,STLM-532S,T5,32,Нержавеющая сталь 
,STLM-533.7S,T5,33.7,Нержавеющая сталь 
,STLM-535S,T5,35,Нержавеющая сталь 
,STLM-538S,T5,38,Нержавеющая сталь 
,STLM-540S,T5,40,Нержавеющая сталь 
,STLM-542S,T5,42,Нержавеющая сталь 
