#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм)
,SWP-106,L1,6
,SWP-106.4,L1,6.4
,SWP-108,L1,8
,SWP-208,L2,8
,SWP-209.5,L2,9.5
,SWP-210,L2,10
,SWP-212,L2,12
,SWP-212.7,L2,12.7
,SWP-310,L3,10
,SWP-312,L3,12
,SWP-312.7,L3,12.7
,SWP-313.5,L3,13.5
,SWP-314,L3,14
,SWP-315,L3,15
,SWP-316,L3,16
,SWP-414,L4,14
,SWP-415,L4,15
,SWP-416,L4,16
,SWP-417.2,L4,17.2
,SWP-418,L4,18
,SWP-419,L4,19
,SWP-420,L4,20
,SWP-421.3,L4,21.3
,SWP-422,L4,22
