#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLH-006,L0,6,Углеродистая сталь 
,SLLH-006.4,L0,6.4,Углеродистая сталь 
,SLLH-008,L0,8,Углеродистая сталь 
,SLLH-009.5,L0,9.5,Углеродистая сталь 
,SLLH-010,L0,10,Углеродистая сталь 
,SLLH-012,L0,12,Углеродистая сталь 
,SLLH-006S,L0,6,Нержавеющая сталь 
,SLLH-006.4S,L0,6.4,Нержавеющая сталь 
,SLLH-008S,L0,8,Нержавеющая сталь 
,SLLH-009.5S,L0,9.5,Нержавеющая сталь 
,SLLH-010S,L0,10,Нержавеющая сталь 
,SLLH-012S,L0,12,Нержавеющая сталь 
