#,Заказной код,"Параметр:Заказной код:Размер трубы, материал"
,T-1/16x0.014-316L-coil,"1/16x0.014, 316L
(в бухте)"
,T-1/16x0.02-316L-coil,"1/16x0.02, 316L
(в бухте)"
,T-1/8x0.016-316L-coil,"1/8x0.016, 316L
(в бухте)"
,T-1/8x0.02-316L-coil,"1/8x0.02, 316L
(в бухте)"
,T-1/8x0.028-316L-coil,"1/8x0.028, 316L
(в бухте)"
,T-1/8x0.035-316L-coil,"1/8x0.035, 316L
(в бухте)"
,T-1/4x0.035-316L,"1/8x0.035, 316L"
,T-1/4x0.035-316L-coil,"1/4x0.035, 316L
(в бухте)"
,T-1/4x0.048-316L,"1/4x0.048, 316L"
,T-1/4x0.065-316L,"1/4x0.065, 316L"
,T-3/8x0.035-316L,"3/8x0.035, 316L"
,T-3/8x0.035-316L-coil,"3/8x0.035, 316L
(в бухте)"
,T-3/8x0.049-316L,"3/8x0.049, 316L"
,T-3/8x0.065-316L,"3/8x0.065, 316L"
,T-1/2x0.035-316L,"1/2x0.035, 316L"
,T-1/2x0.048-316L,"1/2x0.048, 316L"
,T-1/2x0.065-316L,"1/2x0.065, 316L"
,T-1/2x0.083-316L,"1/2x0.083, 316L"
,T-3/4x0.065-316L,"3/4x0.065, 316L"
,T-3/4x0.08-316L,"3/4x0.08, 316L"
,T-1x0.065-316L,"1x0.065, 316L"
,T-1x0.104-316L,"1x0.104, 316L"
,T-1x0.104-316L-unpolished,"1x0.104, 316L
(нешлиф)"
,T-1x0.125-316L,"1x0.125, 316L"
,T-1/4x0.049-316L-coil,"1/4x0.049, 316L
(в бухте)"
,T-1/8x0.035-316L,"1/8x0.035, 316L"
