#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNK-006,L0,6,Углеродистая сталь 
,SLNK-006.4,L0,6.4,Углеродистая сталь 
,SLNK-008,L0,8,Углеродистая сталь 
,SLNK-009.5,L0,9.5,Углеродистая сталь 
,SLNK-010,L0,10,Углеродистая сталь 
,SLNK-012,L0,12,Углеродистая сталь 
,SLNK-006S,L0,6,Нержавеющая сталь 
,SLNK-006.4S,L0,6.4,Нержавеющая сталь 
,SLNK-008S,L0,8,Нержавеющая сталь 
,SLNK-009.5S,L0,9.5,Нержавеющая сталь 
,SLNK-010S,L0,10,Нержавеющая сталь 
,SLNK-012S,L0,12,Нержавеющая сталь 
