#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNJ-106,T1,6,Углеродистая сталь 
,STNJ-106.4,T1,6.4,Углеродистая сталь 
,STNJ-108,T1,8,Углеродистая сталь 
,STNJ-109.5,T1,9.5,Углеродистая сталь 
,STNJ-110,T1,10,Углеродистая сталь 
,STNJ-112,T1,12,Углеродистая сталь 
,STNJ-212.7,T2,12.7,Углеродистая сталь 
,STNJ-213.5,T2,13.5,Углеродистая сталь 
,STNJ-214,T2,14,Углеродистая сталь 
,STNJ-215,T2,15,Углеродистая сталь 
,STNJ-216,T2,16,Углеродистая сталь 
,STNJ-217.2,T2,17.2,Углеродистая сталь 
,STNJ-218,T2,18,Углеродистая сталь 
,STNJ-319,T3,19,Углеродистая сталь 
,STNJ-320,T3,20,Углеродистая сталь 
,STNJ-321.3,T3,21.3,Углеродистая сталь 
,STNJ-322,T3,22,Углеродистая сталь 
,STNJ-325,T3,25,Углеродистая сталь 
,STNJ-426.9,T4,26.9,Углеродистая сталь 
,STNJ-428,T4,28,Углеродистая сталь 
,STNJ-430,T4,30,Углеродистая сталь 
,STNJ-532,T5,32,Углеродистая сталь 
,STNJ-533.7,T5,33.7,Углеродистая сталь 
,STNJ-535,T5,35,Углеродистая сталь 
,STNJ-538,T5,38,Углеродистая сталь 
,STNJ-540,T5,40,Углеродистая сталь 
,STNJ-542,T5,42,Углеродистая сталь 
,STNJ-106S,T1,6,Нержавеющая сталь 
,STNJ-106.4S,T1,6.4,Нержавеющая сталь 
,STNJ-108S,T1,8,Нержавеющая сталь 
,STNJ-109.5S,T1,9.5,Нержавеющая сталь 
,STNJ-110S,T1,10,Нержавеющая сталь 
,STNJ-112S,T1,12,Нержавеющая сталь 
,STNJ-212.7S,T2,12.7,Нержавеющая сталь 
,STNJ-213.5S,T2,13.5,Нержавеющая сталь 
,STNJ-214S,T2,14,Нержавеющая сталь 
,STNJ-215S,T2,15,Нержавеющая сталь 
,STNJ-216S,T2,16,Нержавеющая сталь 
,STNJ-217.2S,T2,17.2,Нержавеющая сталь 
,STNJ-218S,T2,18,Нержавеющая сталь 
,STNJ-319S,T3,19,Нержавеющая сталь 
,STNJ-320S,T3,20,Нержавеющая сталь 
,STNJ-321.3S,T3,21.3,Нержавеющая сталь 
,STNJ-322S,T3,22,Нержавеющая сталь 
,STNJ-325S,T3,25,Нержавеющая сталь 
,STNJ-426.9S,T4,26.9,Нержавеющая сталь 
,STNJ-428S,T4,28,Нержавеющая сталь 
,STNJ-430S,T4,30,Нержавеющая сталь 
,STNJ-532S,T5,32,Нержавеющая сталь 
,STNJ-533.7S,T5,33.7,Нержавеющая сталь 
,STNJ-535S,T5,35,Нержавеющая сталь 
,STNJ-538S,T5,38,Нержавеющая сталь 
,STNJ-540S,T5,40,Нержавеющая сталь 
,STNJ-542S,T5,42,Нержавеющая сталь 
