#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLA-106,T1,6,Углеродистая сталь 
,STLA-106.4,T1,6.4,Углеродистая сталь 
,STLA-108,T1,8,Углеродистая сталь 
,STLA-109.5,T1,9.5,Углеродистая сталь 
,STLA-110,T1,10,Углеродистая сталь 
,STLA-112,T1,12,Углеродистая сталь 
,STLA-212.7,T2,12.7,Углеродистая сталь 
,STLA-213.5,T2,13.5,Углеродистая сталь 
,STLA-214,T2,14,Углеродистая сталь 
,STLA-215,T2,15,Углеродистая сталь 
,STLA-216,T2,16,Углеродистая сталь 
,STLA-217.2,T2,17.2,Углеродистая сталь 
,STLA-218,T2,18,Углеродистая сталь 
,STLA-319,T3,19,Углеродистая сталь 
,STLA-320,T3,20,Углеродистая сталь 
,STLA-321.3,T3,21.3,Углеродистая сталь 
,STLA-322,T3,22,Углеродистая сталь 
,STLA-325,T3,25,Углеродистая сталь 
,STLA-426.9,T4,26.9,Углеродистая сталь 
,STLA-428,T4,28,Углеродистая сталь 
,STLA-430,T4,30,Углеродистая сталь 
,STLA-532,T5,32,Углеродистая сталь 
,STLA-533.7,T5,33.7,Углеродистая сталь 
,STLA-535,T5,35,Углеродистая сталь 
,STLA-538,T5,38,Углеродистая сталь 
,STLA-540,T5,40,Углеродистая сталь 
,STLA-542,T5,42,Углеродистая сталь 
,STLA-106S,T1,6,Нержавеющая сталь 
,STLA-106.4S,T1,6.4,Нержавеющая сталь 
,STLA-108S,T1,8,Нержавеющая сталь 
,STLA-109.5S,T1,9.5,Нержавеющая сталь 
,STLA-110S,T1,10,Нержавеющая сталь 
,STLA-112S,T1,12,Нержавеющая сталь 
,STLA-212.7S,T2,12.7,Нержавеющая сталь 
,STLA-213.5S,T2,13.5,Нержавеющая сталь 
,STLA-214S,T2,14,Нержавеющая сталь 
,STLA-215S,T2,15,Нержавеющая сталь 
,STLA-216S,T2,16,Нержавеющая сталь 
,STLA-217.2S,T2,17.2,Нержавеющая сталь 
,STLA-218S,T2,18,Нержавеющая сталь 
,STLA-319S,T3,19,Нержавеющая сталь 
,STLA-320S,T3,20,Нержавеющая сталь 
,STLA-321.3S,T3,21.3,Нержавеющая сталь 
,STLA-322S,T3,22,Нержавеющая сталь 
,STLA-325S,T3,25,Нержавеющая сталь 
,STLA-426.9S,T4,26.9,Нержавеющая сталь 
,STLA-428S,T4,28,Нержавеющая сталь 
,STLA-430S,T4,30,Нержавеющая сталь 
,STLA-532S,T5,32,Нержавеющая сталь 
,STLA-533.7S,T5,33.7,Нержавеющая сталь 
,STLA-535S,T5,35,Нержавеющая сталь 
,STLA-538S,T5,38,Нержавеющая сталь 
,STLA-540S,T5,40,Нержавеющая сталь 
,STLA-542S,T5,42,Нержавеющая сталь 
