#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNF-006,L0,6,Углеродистая сталь
,SLNF-006.4,L0,6.4,Углеродистая сталь
,SLNF-008,L0,8,Углеродистая сталь
,SLNF-009.5,L0,9.5,Углеродистая сталь
,SLNF-010,L0,10,Углеродистая сталь
,SLNF-012,L0,12,Углеродистая сталь
,SLNF-006S,L0,6,Нержавеющая сталь
,SLNF-006.4S,L0,6.4,Нержавеющая сталь
,SLNF-008S,L0,8,Нержавеющая сталь
,SLNF-009.5S,L0,9.5,Нержавеющая сталь
,SLNF-010S,L0,10,Нержавеющая сталь
,SLNF-012S,L0,12,Нержавеющая сталь
