#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLR-106,T1,6,Углеродистая сталь 
,STLR-106.4,T1,6.4,Углеродистая сталь 
,STLR-108,T1,8,Углеродистая сталь 
,STLR-109.5,T1,9.5,Углеродистая сталь 
,STLR-110,T1,10,Углеродистая сталь 
,STLR-112,T1,12,Углеродистая сталь 
,STLR-212.7,T2,12.7,Углеродистая сталь 
,STLR-213.5,T2,13.5,Углеродистая сталь 
,STLR-214,T2,14,Углеродистая сталь 
,STLR-215,T2,15,Углеродистая сталь 
,STLR-216,T2,16,Углеродистая сталь 
,STLR-217.2,T2,17.2,Углеродистая сталь 
,STLR-218,T2,18,Углеродистая сталь 
,STLR-319,T3,19,Углеродистая сталь 
,STLR-320,T3,20,Углеродистая сталь 
,STLR-321.3,T3,21.3,Углеродистая сталь 
,STLR-322,T3,22,Углеродистая сталь 
,STLR-325,T3,25,Углеродистая сталь 
,STLR-426.9,T4,26.9,Углеродистая сталь 
,STLR-428,T4,28,Углеродистая сталь 
,STLR-430,T4,30,Углеродистая сталь 
,STLR-532,T5,32,Углеродистая сталь 
,STLR-533.7,T5,33.7,Углеродистая сталь 
,STLR-535,T5,35,Углеродистая сталь 
,STLR-538,T5,38,Углеродистая сталь 
,STLR-540,T5,40,Углеродистая сталь 
,STLR-542,T5,42,Углеродистая сталь 
,STLR-106S,T1,6,Нержавеющая сталь 
,STLR-106.4S,T1,6.4,Нержавеющая сталь 
,STLR-108S,T1,8,Нержавеющая сталь 
,STLR-109.5S,T1,9.5,Нержавеющая сталь 
,STLR-110S,T1,10,Нержавеющая сталь 
,STLR-112S,T1,12,Нержавеющая сталь 
,STLR-212.7S,T2,12.7,Нержавеющая сталь 
,STLR-213.5S,T2,13.5,Нержавеющая сталь 
,STLR-214S,T2,14,Нержавеющая сталь 
,STLR-215S,T2,15,Нержавеющая сталь 
,STLR-216S,T2,16,Нержавеющая сталь 
,STLR-217.2S,T2,17.2,Нержавеющая сталь 
,STLR-218S,T2,18,Нержавеющая сталь 
,STLR-319S,T3,19,Нержавеющая сталь 
,STLR-320S,T3,20,Нержавеющая сталь 
,STLR-321.3S,T3,21.3,Нержавеющая сталь 
,STLR-322S,T3,22,Нержавеющая сталь 
,STLR-325S,T3,25,Нержавеющая сталь 
,STLR-426.9S,T4,26.9,Нержавеющая сталь 
,STLR-428S,T4,28,Нержавеющая сталь 
,STLR-430S,T4,30,Нержавеющая сталь 
,STLR-532S,T5,32,Нержавеющая сталь 
,STLR-533.7S,T5,33.7,Нержавеющая сталь 
,STLR-535S,T5,35,Нержавеющая сталь 
,STLR-538S,T5,38,Нержавеющая сталь 
,STLR-540S,T5,40,Нержавеющая сталь 
,STLR-542S,T5,42,Нержавеющая сталь 
