#,Заказной код,"Параметр:Заказной код:Размер трубы, материал"
,T-3x0.5mm-316L,"3x0.5мм, 316L"
,T-3x0.5mm-316L-coil,"3x0.5мм, 316L"
,T-3x0.7mm-316L-coil,"3x0.7мм, 316L (в бухте)"
,T-6x1mm-316L,"6x1мм, 316L"
,T-6x1mm-304L,"6x1мм, 304L"
,T-6x1mm-316L-coil,"6x1мм, 316L (в бухте)"
,T-6x1.5mm-316L,"6x1.5мм, 316L"
,T-8x1mm-316L,"8x1мм, 316L"
,T-8x1.5mm-316L,"8x1.5мм, 316L"
,T-8x1mm-316L-coil,"8x1мм, 316L (в бухте)"
,T-10x1mm-316L,"10x1мм, 316L"
,T-10x1mm-304L,"10x1мм, 304L"
,T-10x1.5mm-316L,"10x1,5мм 316L"
,T-10x2mm-316L,"10x2мм, 316L"
,T-12x1mm-316L,"12x1мм, 316L"
,T-12x1mm-304L,"12x1мм, 304L"
,T-12x1.5mm-316L,"12x1,5мм 316L"
,T-12x1.5mm-304L,"12x1,5мм 304L"
,T-12x1.5mm-321,"12x1,5мм 321"
,T-12x2mm-316L,"12x2мм, 316L"
,T-14x2mm-316L,"14х2мм, 316L"
,T-16x1.5mm-316L,"16x1.5мм, 316L"
,T-16x2mm-316L,"16x2мм, 316L"
,T-16x3mm-316L,"16x3мм, 316L"
,T-18x2mm-316L,"18x2мм, 316L"
,T-22x2mm-316L,"22x2мм, 316L"
,T-25x2mm-316L,"25x2мм, 316L"
,T-25x2.5mm-316L,"25x2,5мм 316L"
,T-25x2.5mm-316L-unpolished,"25x2,5мм 316L (нешлиф)"
,T-3x0.5mm-S316L-coil,"3x0.5мм, 316L (в бухте)"
,T-20x2mm-316L,"20x2мм, 316L"
