#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPK-006,L0,6,Углеродистая сталь 
,SLPK-006.4,L0,6.4,Углеродистая сталь 
,SLPK-008,L0,8,Углеродистая сталь 
,SLPK-009.5,L0,9.5,Углеродистая сталь 
,SLPK-010,L0,10,Углеродистая сталь 
,SLPK-012,L0,12,Углеродистая сталь 
,SLPK-006S,L0,6,Нержавеющая сталь 
,SLPK-006.4S,L0,6.4,Нержавеющая сталь 
,SLPK-008S,L0,8,Нержавеющая сталь 
,SLPK-009.5S,L0,9.5,Нержавеющая сталь 
,SLPK-010S,L0,10,Нержавеющая сталь 
,SLPK-012S,L0,12,Нержавеющая сталь 
