#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPB-106,L1,6,Углеродистая сталь 
,SLPB-106.4,L1,6.4,Углеродистая сталь 
,SLPB-108,L1,8,Углеродистая сталь 
,SLPB-109.5,L1,9.5,Углеродистая сталь 
,SLPB-110,L1,10,Углеродистая сталь 
,SLPB-112,L1,12,Углеродистая сталь 
,SLPB-212.7,L2,12.7,Углеродистая сталь 
,SLPB-213.5,L2,13.5,Углеродистая сталь 
,SLPB-214,L2,14,Углеродистая сталь 
,SLPB-215,L2,15,Углеродистая сталь 
,SLPB-216,L2,16,Углеродистая сталь 
,SLPB-217.2,L2,17.2,Углеродистая сталь 
,SLPB-218,L2,18,Углеродистая сталь 
,SLPB-319,L3,19,Углеродистая сталь 
,SLPB-320,L3,20,Углеродистая сталь 
,SLPB-321.3,L3,21.3,Углеродистая сталь 
,SLPB-322,L3,22,Углеродистая сталь 
,SLPB-325,L3,25,Углеродистая сталь 
,SLPB-426.9,L4,26.9,Углеродистая сталь 
,SLPB-428,L4,28,Углеродистая сталь 
,SLPB-430,L4,30,Углеродистая сталь 
,SLPB-532,L5,32,Углеродистая сталь 
,SLPB-533.7,L5,33.7,Углеродистая сталь 
,SLPB-535,L5,35,Углеродистая сталь 
,SLPB-538,L5,38,Углеродистая сталь 
,SLPB-540,L5,40,Углеродистая сталь 
,SLPB-542,L5,42,Углеродистая сталь 
,SLPB-644.5,L6,44.5,Углеродистая сталь 
,SLPB-648.3,L6,48.3,Углеродистая сталь 
,SLPB-650.8,L6,50.8,Углеродистая сталь 
,SLPB-757.2,L7,57.2,Углеродистая сталь 
,SLPB-760.3,L7,60.3,Углеродистая сталь 
,SLPB-763.5,L7,63.5,Углеродистая сталь 
,SLPB-770,L7,70,Углеродистая сталь 
,SLPB-773,L7,73,Углеродистая сталь 
,SLPB-776.1,L7,76.1,Углеродистая сталь 
,SLPB-888.9,L8,88.9,Углеродистая сталь 
,SLPB-8102,L8,102,Углеродистая сталь 
,SLPB-106S,L1,6,Нержавеющая сталь 
,SLPB-106.4S,L1,6.4,Нержавеющая сталь 
,SLPB-108S,L1,8,Нержавеющая сталь 
,SLPB-109.5S,L1,9.5,Нержавеющая сталь 
,SLPB-110S,L1,10,Нержавеющая сталь 
,SLPB-112S,L1,12,Нержавеющая сталь 
,SLPB-212.7S,L2,12.7,Нержавеющая сталь 
,SLPB-213.5S,L2,13.5,Нержавеющая сталь 
,SLPB-214S,L2,14,Нержавеющая сталь 
,SLPB-215S,L2,15,Нержавеющая сталь 
,SLPB-216S,L2,16,Нержавеющая сталь 
,SLPB-217.2S,L2,17.2,Нержавеющая сталь 
,SLPB-218S,L2,18,Нержавеющая сталь 
,SLPB-319S,L3,19,Нержавеющая сталь 
,SLPB-320S,L3,20,Нержавеющая сталь 
,SLPB-321.3S,L3,21.3,Нержавеющая сталь 
,SLPB-322S,L3,22,Нержавеющая сталь 
,SLPB-325S,L3,25,Нержавеющая сталь 
,SLPB-426.9S,L4,26.9,Нержавеющая сталь 
,SLPB-428S,L4,28,Нержавеющая сталь 
,SLPB-430S,L4,30,Нержавеющая сталь 
,SLPB-532S,L5,32,Нержавеющая сталь 
,SLPB-533.7S,L5,33.7,Нержавеющая сталь 
,SLPB-535S,L5,35,Нержавеющая сталь 
,SLPB-538S,L5,38,Нержавеющая сталь 
,SLPB-540S,L5,40,Нержавеющая сталь 
,SLPB-542S,L5,42,Нержавеющая сталь 
,SLPB-644.5S,L6,44.5,Нержавеющая сталь 
,SLPB-648.3S,L6,48.3,Нержавеющая сталь 
,SLPB-650.8S,L6,50.8,Нержавеющая сталь 
,SLPB-757.2S,L7,57.2,Нержавеющая сталь 
,SLPB-760.3S,L7,60.3,Нержавеющая сталь 
,SLPB-763.5S,L7,63.5,Нержавеющая сталь 
,SLPB-770S,L7,70,Нержавеющая сталь 
,SLPB-773S,L7,73,Нержавеющая сталь 
,SLPB-776.1S,L7,76.1,Нержавеющая сталь 
,SLPB-888.9S,L8,88.9,Нержавеющая сталь 
,SLPB-8102S,L8,102,Нержавеющая сталь 
