#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPC-106,T1,6,Углеродистая сталь 
,STPC-106.4,T1,6.4,Углеродистая сталь 
,STPC-108,T1,8,Углеродистая сталь 
,STPC-109.5,T1,9.5,Углеродистая сталь 
,STPC-110,T1,10,Углеродистая сталь 
,STPC-112,T1,12,Углеродистая сталь 
,STPC-212.7,T2,12.7,Углеродистая сталь 
,STPC-213.5,T2,13.5,Углеродистая сталь 
,STPC-214,T2,14,Углеродистая сталь 
,STPC-215,T2,15,Углеродистая сталь 
,STPC-216,T2,16,Углеродистая сталь 
,STPC-217.2,T2,17.2,Углеродистая сталь 
,STPC-218,T2,18,Углеродистая сталь 
,STPC-319,T3,19,Углеродистая сталь 
,STPC-320,T3,20,Углеродистая сталь 
,STPC-321.3,T3,21.3,Углеродистая сталь 
,STPC-322,T3,22,Углеродистая сталь 
,STPC-325,T3,25,Углеродистая сталь 
,STPC-426.9,T4,26.9,Углеродистая сталь 
,STPC-428,T4,28,Углеродистая сталь 
,STPC-430,T4,30,Углеродистая сталь 
,STPC-532,T5,32,Углеродистая сталь 
,STPC-533.7,T5,33.7,Углеродистая сталь 
,STPC-535,T5,35,Углеродистая сталь 
,STPC-538,T5,38,Углеродистая сталь 
,STPC-540,T5,40,Углеродистая сталь 
,STPC-542,T5,42,Углеродистая сталь 
,STPC-106S,T1,6,Нержавеющая сталь 
,STPC-106.4S,T1,6.4,Нержавеющая сталь 
,STPC-108S,T1,8,Нержавеющая сталь 
,STPC-109.5S,T1,9.5,Нержавеющая сталь 
,STPC-110S,T1,10,Нержавеющая сталь 
,STPC-112S,T1,12,Нержавеющая сталь 
,STPC-212.7S,T2,12.7,Нержавеющая сталь 
,STPC-213.5S,T2,13.5,Нержавеющая сталь 
,STPC-214S,T2,14,Нержавеющая сталь 
,STPC-215S,T2,15,Нержавеющая сталь 
,STPC-216S,T2,16,Нержавеющая сталь 
,STPC-217.2S,T2,17.2,Нержавеющая сталь 
,STPC-218S,T2,18,Нержавеющая сталь 
,STPC-319S,T3,19,Нержавеющая сталь 
,STPC-320S,T3,20,Нержавеющая сталь 
,STPC-321.3S,T3,21.3,Нержавеющая сталь 
,STPC-322S,T3,22,Нержавеющая сталь 
,STPC-325S,T3,25,Нержавеющая сталь 
,STPC-426.9S,T4,26.9,Нержавеющая сталь 
,STPC-428S,T4,28,Нержавеющая сталь 
,STPC-430S,T4,30,Нержавеющая сталь 
,STPC-532S,T5,32,Нержавеющая сталь 
,STPC-533.7S,T5,33.7,Нержавеющая сталь 
,STPC-535S,T5,35,Нержавеющая сталь 
,STPC-538S,T5,38,Нержавеющая сталь 
,STPC-540S,T5,40,Нержавеющая сталь 
,STPC-542S,T5,42,Нержавеющая сталь 
