#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPJ-106,L1,6,Углеродистая сталь 
,SLPJ-106.4,L1,6.4,Углеродистая сталь 
,SLPJ-108,L1,8,Углеродистая сталь 
,SLPJ-109.5,L1,9.5,Углеродистая сталь 
,SLPJ-110,L1,10,Углеродистая сталь 
,SLPJ-112,L1,12,Углеродистая сталь 
,SLPJ-212.7,L2,12.7,Углеродистая сталь 
,SLPJ-213.5,L2,13.5,Углеродистая сталь 
,SLPJ-214,L2,14,Углеродистая сталь 
,SLPJ-215,L2,15,Углеродистая сталь 
,SLPJ-216,L2,16,Углеродистая сталь 
,SLPJ-217.2,L2,17.2,Углеродистая сталь 
,SLPJ-218,L2,18,Углеродистая сталь 
,SLPJ-319,L3,19,Углеродистая сталь 
,SLPJ-320,L3,20,Углеродистая сталь 
,SLPJ-321.3,L3,21.3,Углеродистая сталь 
,SLPJ-322,L3,22,Углеродистая сталь 
,SLPJ-325,L3,25,Углеродистая сталь 
,SLPJ-426.9,L4,26.9,Углеродистая сталь 
,SLPJ-428,L4,28,Углеродистая сталь 
,SLPJ-430,L4,30,Углеродистая сталь 
,SLPJ-532,L5,32,Углеродистая сталь 
,SLPJ-533.7,L5,33.7,Углеродистая сталь 
,SLPJ-535,L5,35,Углеродистая сталь 
,SLPJ-538,L5,38,Углеродистая сталь 
,SLPJ-540,L5,40,Углеродистая сталь 
,SLPJ-542,L5,42,Углеродистая сталь 
,SLPJ-644.5,L6,44.5,Углеродистая сталь 
,SLPJ-648.3,L6,48.3,Углеродистая сталь 
,SLPJ-650.8,L6,50.8,Углеродистая сталь 
,SLPJ-757.2,L7,57.2,Углеродистая сталь 
,SLPJ-760.3,L7,60.3,Углеродистая сталь 
,SLPJ-763.5,L7,63.5,Углеродистая сталь 
,SLPJ-770,L7,70,Углеродистая сталь 
,SLPJ-773,L7,73,Углеродистая сталь 
,SLPJ-776.1,L7,76.1,Углеродистая сталь 
,SLPJ-888.9,L8,88.9,Углеродистая сталь 
,SLPJ-8102,L8,102,Углеродистая сталь 
,SLPJ-106S,L1,6,Нержавеющая сталь 
,SLPJ-106.4S,L1,6.4,Нержавеющая сталь 
,SLPJ-108S,L1,8,Нержавеющая сталь 
,SLPJ-109.5S,L1,9.5,Нержавеющая сталь 
,SLPJ-110S,L1,10,Нержавеющая сталь 
,SLPJ-112S,L1,12,Нержавеющая сталь 
,SLPJ-212.7S,L2,12.7,Нержавеющая сталь 
,SLPJ-213.5S,L2,13.5,Нержавеющая сталь 
,SLPJ-214S,L2,14,Нержавеющая сталь 
,SLPJ-215S,L2,15,Нержавеющая сталь 
,SLPJ-216S,L2,16,Нержавеющая сталь 
,SLPJ-217.2S,L2,17.2,Нержавеющая сталь 
,SLPJ-218S,L2,18,Нержавеющая сталь 
,SLPJ-319S,L3,19,Нержавеющая сталь 
,SLPJ-320S,L3,20,Нержавеющая сталь 
,SLPJ-321.3S,L3,21.3,Нержавеющая сталь 
,SLPJ-322S,L3,22,Нержавеющая сталь 
,SLPJ-325S,L3,25,Нержавеющая сталь 
,SLPJ-426.9S,L4,26.9,Нержавеющая сталь 
,SLPJ-428S,L4,28,Нержавеющая сталь 
,SLPJ-430S,L4,30,Нержавеющая сталь 
,SLPJ-532S,L5,32,Нержавеющая сталь 
,SLPJ-533.7S,L5,33.7,Нержавеющая сталь 
,SLPJ-535S,L5,35,Нержавеющая сталь 
,SLPJ-538S,L5,38,Нержавеющая сталь 
,SLPJ-540S,L5,40,Нержавеющая сталь 
,SLPJ-542S,L5,42,Нержавеющая сталь 
,SLPJ-644.5S,L6,44.5,Нержавеющая сталь 
,SLPJ-648.3S,L6,48.3,Нержавеющая сталь 
,SLPJ-650.8S,L6,50.8,Нержавеющая сталь 
,SLPJ-757.2S,L7,57.2,Нержавеющая сталь 
,SLPJ-760.3S,L7,60.3,Нержавеющая сталь 
,SLPJ-763.5S,L7,63.5,Нержавеющая сталь 
,SLPJ-770S,L7,70,Нержавеющая сталь 
,SLPJ-773S,L7,73,Нержавеющая сталь 
,SLPJ-776.1S,L7,76.1,Нержавеющая сталь 
,SLPJ-888.9S,L8,88.9,Нержавеющая сталь 
,SLPJ-8102S,L8,102,Нержавеющая сталь 
