#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNF-106,L1,6,Углеродистая сталь 
,SLNF-106.4,L1,6.4,Углеродистая сталь 
,SLNF-108,L1,8,Углеродистая сталь 
,SLNF-109.5,L1,9.5,Углеродистая сталь 
,SLNF-110,L1,10,Углеродистая сталь 
,SLNF-112,L1,12,Углеродистая сталь 
,SLNF-212.7,L2,12.7,Углеродистая сталь 
,SLNF-213.5,L2,13.5,Углеродистая сталь 
,SLNF-214,L2,14,Углеродистая сталь 
,SLNF-215,L2,15,Углеродистая сталь 
,SLNF-216,L2,16,Углеродистая сталь 
,SLNF-217.2,L2,17.2,Углеродистая сталь 
,SLNF-218,L2,18,Углеродистая сталь 
,SLNF-319,L3,19,Углеродистая сталь 
,SLNF-320,L3,20,Углеродистая сталь 
,SLNF-321.3,L3,21.3,Углеродистая сталь 
,SLNF-322,L3,22,Углеродистая сталь 
,SLNF-325,L3,25,Углеродистая сталь 
,SLNF-426.9,L4,26.9,Углеродистая сталь 
,SLNF-428,L4,28,Углеродистая сталь 
,SLNF-430,L4,30,Углеродистая сталь 
,SLNF-532,L5,32,Углеродистая сталь 
,SLNF-533.7,L5,33.7,Углеродистая сталь 
,SLNF-535,L5,35,Углеродистая сталь 
,SLNF-538,L5,38,Углеродистая сталь 
,SLNF-540,L5,40,Углеродистая сталь 
,SLNF-542,L5,42,Углеродистая сталь 
,SLNF-644.5,L6,44.5,Углеродистая сталь 
,SLNF-648.3,L6,48.3,Углеродистая сталь 
,SLNF-650.8,L6,50.8,Углеродистая сталь 
,SLNF-757.2,L7,57.2,Углеродистая сталь 
,SLNF-760.3,L7,60.3,Углеродистая сталь 
,SLNF-763.5,L7,63.5,Углеродистая сталь 
,SLNF-770,L7,70,Углеродистая сталь 
,SLNF-773,L7,73,Углеродистая сталь 
,SLNF-776.1,L7,76.1,Углеродистая сталь 
,SLNF-888.9,L8,88.9,Углеродистая сталь 
,SLNF-8102,L8,102,Углеродистая сталь 
,SLNF-106S,L1,6,Нержавеющая сталь 
,SLNF-106.4S,L1,6.4,Нержавеющая сталь 
,SLNF-108S,L1,8,Нержавеющая сталь 
,SLNF-109.5S,L1,9.5,Нержавеющая сталь 
,SLNF-110S,L1,10,Нержавеющая сталь 
,SLNF-112S,L1,12,Нержавеющая сталь 
,SLNF-212.7S,L2,12.7,Нержавеющая сталь 
,SLNF-213.5S,L2,13.5,Нержавеющая сталь 
,SLNF-214S,L2,14,Нержавеющая сталь 
,SLNF-215S,L2,15,Нержавеющая сталь 
,SLNF-216S,L2,16,Нержавеющая сталь 
,SLNF-217.2S,L2,17.2,Нержавеющая сталь 
,SLNF-218S,L2,18,Нержавеющая сталь 
,SLNF-319S,L3,19,Нержавеющая сталь 
,SLNF-320S,L3,20,Нержавеющая сталь 
,SLNF-321.3S,L3,21.3,Нержавеющая сталь 
,SLNF-322S,L3,22,Нержавеющая сталь 
,SLNF-325S,L3,25,Нержавеющая сталь 
,SLNF-426.9S,L4,26.9,Нержавеющая сталь 
,SLNF-428S,L4,28,Нержавеющая сталь 
,SLNF-430S,L4,30,Нержавеющая сталь 
,SLNF-532S,L5,32,Нержавеющая сталь 
,SLNF-533.7S,L5,33.7,Нержавеющая сталь 
,SLNF-535S,L5,35,Нержавеющая сталь 
,SLNF-538S,L5,38,Нержавеющая сталь 
,SLNF-540S,L5,40,Нержавеющая сталь 
,SLNF-542S,L5,42,Нержавеющая сталь 
,SLNF-644.5S,L6,44.5,Нержавеющая сталь 
,SLNF-648.3S,L6,48.3,Нержавеющая сталь 
,SLNF-650.8S,L6,50.8,Нержавеющая сталь 
,SLNF-757.2S,L7,57.2,Нержавеющая сталь 
,SLNF-760.3S,L7,60.3,Нержавеющая сталь 
,SLNF-763.5S,L7,63.5,Нержавеющая сталь 
,SLNF-770S,L7,70,Нержавеющая сталь 
,SLNF-773S,L7,73,Нержавеющая сталь 
,SLNF-776.1S,L7,76.1,Нержавеющая сталь 
,SLNF-888.9S,L8,88.9,Нержавеющая сталь 
,SLNF-8102S,L8,102,Нержавеющая сталь 
