#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLK-106,L1,6,Углеродистая сталь 
,SLLK-106.4,L1,6.4,Углеродистая сталь 
,SLLK-108,L1,8,Углеродистая сталь 
,SLLK-109.5,L1,9.5,Углеродистая сталь 
,SLLK-110,L1,10,Углеродистая сталь 
,SLLK-112,L1,12,Углеродистая сталь 
,SLLK-212.7,L2,12.7,Углеродистая сталь 
,SLLK-213.5,L2,13.5,Углеродистая сталь 
,SLLK-214,L2,14,Углеродистая сталь 
,SLLK-215,L2,15,Углеродистая сталь 
,SLLK-216,L2,16,Углеродистая сталь 
,SLLK-217.2,L2,17.2,Углеродистая сталь 
,SLLK-218,L2,18,Углеродистая сталь 
,SLLK-319,L3,19,Углеродистая сталь 
,SLLK-320,L3,20,Углеродистая сталь 
,SLLK-321.3,L3,21.3,Углеродистая сталь 
,SLLK-322,L3,22,Углеродистая сталь 
,SLLK-325,L3,25,Углеродистая сталь 
,SLLK-426.9,L4,26.9,Углеродистая сталь 
,SLLK-428,L4,28,Углеродистая сталь 
,SLLK-430,L4,30,Углеродистая сталь 
,SLLK-532,L5,32,Углеродистая сталь 
,SLLK-533.7,L5,33.7,Углеродистая сталь 
,SLLK-535,L5,35,Углеродистая сталь 
,SLLK-538,L5,38,Углеродистая сталь 
,SLLK-540,L5,40,Углеродистая сталь 
,SLLK-542,L5,42,Углеродистая сталь 
,SLLK-644.5,L6,44.5,Углеродистая сталь 
,SLLK-648.3,L6,48.3,Углеродистая сталь 
,SLLK-650.8,L6,50.8,Углеродистая сталь 
,SLLK-757.2,L7,57.2,Углеродистая сталь 
,SLLK-760.3,L7,60.3,Углеродистая сталь 
,SLLK-763.5,L7,63.5,Углеродистая сталь 
,SLLK-770,L7,70,Углеродистая сталь 
,SLLK-773,L7,73,Углеродистая сталь 
,SLLK-776.1,L7,76.1,Углеродистая сталь 
,SLLK-888.9,L8,88.9,Углеродистая сталь 
,SLLK-8102,L8,102,Углеродистая сталь 
,SLLK-106S,L1,6,Нержавеющая сталь 
,SLLK-106.4S,L1,6.4,Нержавеющая сталь 
,SLLK-108S,L1,8,Нержавеющая сталь 
,SLLK-109.5S,L1,9.5,Нержавеющая сталь 
,SLLK-110S,L1,10,Нержавеющая сталь 
,SLLK-112S,L1,12,Нержавеющая сталь 
,SLLK-212.7S,L2,12.7,Нержавеющая сталь 
,SLLK-213.5S,L2,13.5,Нержавеющая сталь 
,SLLK-214S,L2,14,Нержавеющая сталь 
,SLLK-215S,L2,15,Нержавеющая сталь 
,SLLK-216S,L2,16,Нержавеющая сталь 
,SLLK-217.2S,L2,17.2,Нержавеющая сталь 
,SLLK-218S,L2,18,Нержавеющая сталь 
,SLLK-319S,L3,19,Нержавеющая сталь 
,SLLK-320S,L3,20,Нержавеющая сталь 
,SLLK-321.3S,L3,21.3,Нержавеющая сталь 
,SLLK-322S,L3,22,Нержавеющая сталь 
,SLLK-325S,L3,25,Нержавеющая сталь 
,SLLK-426.9S,L4,26.9,Нержавеющая сталь 
,SLLK-428S,L4,28,Нержавеющая сталь 
,SLLK-430S,L4,30,Нержавеющая сталь 
,SLLK-532S,L5,32,Нержавеющая сталь 
,SLLK-533.7S,L5,33.7,Нержавеющая сталь 
,SLLK-535S,L5,35,Нержавеющая сталь 
,SLLK-538S,L5,38,Нержавеющая сталь 
,SLLK-540S,L5,40,Нержавеющая сталь 
,SLLK-542S,L5,42,Нержавеющая сталь 
,SLLK-644.5S,L6,44.5,Нержавеющая сталь 
,SLLK-648.3S,L6,48.3,Нержавеющая сталь 
,SLLK-650.8S,L6,50.8,Нержавеющая сталь 
,SLLK-757.2S,L7,57.2,Нержавеющая сталь 
,SLLK-760.3S,L7,60.3,Нержавеющая сталь 
,SLLK-763.5S,L7,63.5,Нержавеющая сталь 
,SLLK-770S,L7,70,Нержавеющая сталь 
,SLLK-773S,L7,73,Нержавеющая сталь 
,SLLK-776.1S,L7,76.1,Нержавеющая сталь 
,SLLK-888.9S,L8,88.9,Нержавеющая сталь 
,SLLK-8102S,L8,102,Нержавеющая сталь 
