#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNK-106,L1,6,Углеродистая сталь 
,SLNK-106.4,L1,6.4,Углеродистая сталь 
,SLNK-108,L1,8,Углеродистая сталь 
,SLNK-109.5,L1,9.5,Углеродистая сталь 
,SLNK-110,L1,10,Углеродистая сталь 
,SLNK-112,L1,12,Углеродистая сталь 
,SLNK-212.7,L2,12.7,Углеродистая сталь 
,SLNK-213.5,L2,13.5,Углеродистая сталь 
,SLNK-214,L2,14,Углеродистая сталь 
,SLNK-215,L2,15,Углеродистая сталь 
,SLNK-216,L2,16,Углеродистая сталь 
,SLNK-217.2,L2,17.2,Углеродистая сталь 
,SLNK-218,L2,18,Углеродистая сталь 
,SLNK-319,L3,19,Углеродистая сталь 
,SLNK-320,L3,20,Углеродистая сталь 
,SLNK-321.3,L3,21.3,Углеродистая сталь 
,SLNK-322,L3,22,Углеродистая сталь 
,SLNK-325,L3,25,Углеродистая сталь 
,SLNK-426.9,L4,26.9,Углеродистая сталь 
,SLNK-428,L4,28,Углеродистая сталь 
,SLNK-430,L4,30,Углеродистая сталь 
,SLNK-532,L5,32,Углеродистая сталь 
,SLNK-533.7,L5,33.7,Углеродистая сталь 
,SLNK-535,L5,35,Углеродистая сталь 
,SLNK-538,L5,38,Углеродистая сталь 
,SLNK-540,L5,40,Углеродистая сталь 
,SLNK-542,L5,42,Углеродистая сталь 
,SLNK-644.5,L6,44.5,Углеродистая сталь 
,SLNK-648.3,L6,48.3,Углеродистая сталь 
,SLNK-650.8,L6,50.8,Углеродистая сталь 
,SLNK-757.2,L7,57.2,Углеродистая сталь 
,SLNK-760.3,L7,60.3,Углеродистая сталь 
,SLNK-763.5,L7,63.5,Углеродистая сталь 
,SLNK-770,L7,70,Углеродистая сталь 
,SLNK-773,L7,73,Углеродистая сталь 
,SLNK-776.1,L7,76.1,Углеродистая сталь 
,SLNK-888.9,L8,88.9,Углеродистая сталь 
,SLNK-8102,L8,102,Углеродистая сталь 
,SLNK-106S,L1,6,Нержавеющая сталь 
,SLNK-106.4S,L1,6.4,Нержавеющая сталь 
,SLNK-108S,L1,8,Нержавеющая сталь 
,SLNK-109.5S,L1,9.5,Нержавеющая сталь 
,SLNK-110S,L1,10,Нержавеющая сталь 
,SLNK-112S,L1,12,Нержавеющая сталь 
,SLNK-212.7S,L2,12.7,Нержавеющая сталь 
,SLNK-213.5S,L2,13.5,Нержавеющая сталь 
,SLNK-214S,L2,14,Нержавеющая сталь 
,SLNK-215S,L2,15,Нержавеющая сталь 
,SLNK-216S,L2,16,Нержавеющая сталь 
,SLNK-217.2S,L2,17.2,Нержавеющая сталь 
,SLNK-218S,L2,18,Нержавеющая сталь 
,SLNK-319S,L3,19,Нержавеющая сталь 
,SLNK-320S,L3,20,Нержавеющая сталь 
,SLNK-321.3S,L3,21.3,Нержавеющая сталь 
,SLNK-322S,L3,22,Нержавеющая сталь 
,SLNK-325S,L3,25,Нержавеющая сталь 
,SLNK-426.9S,L4,26.9,Нержавеющая сталь 
,SLNK-428S,L4,28,Нержавеющая сталь 
,SLNK-430S,L4,30,Нержавеющая сталь 
,SLNK-532S,L5,32,Нержавеющая сталь 
,SLNK-533.7S,L5,33.7,Нержавеющая сталь 
,SLNK-535S,L5,35,Нержавеющая сталь 
,SLNK-538S,L5,38,Нержавеющая сталь 
,SLNK-540S,L5,40,Нержавеющая сталь 
,SLNK-542S,L5,42,Нержавеющая сталь 
,SLNK-644.5S,L6,44.5,Нержавеющая сталь 
,SLNK-648.3S,L6,48.3,Нержавеющая сталь 
,SLNK-650.8S,L6,50.8,Нержавеющая сталь 
,SLNK-757.2S,L7,57.2,Нержавеющая сталь 
,SLNK-760.3S,L7,60.3,Нержавеющая сталь 
,SLNK-763.5S,L7,63.5,Нержавеющая сталь 
,SLNK-770S,L7,70,Нержавеющая сталь 
,SLNK-773S,L7,73,Нержавеющая сталь 
,SLNK-776.1S,L7,76.1,Нержавеющая сталь 
,SLNK-888.9S,L8,88.9,Нержавеющая сталь 
,SLNK-8102S,L8,102,Нержавеющая сталь 
