#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNH-106,L1,6,Углеродистая сталь 
,SLNH-106.4,L1,6.4,Углеродистая сталь 
,SLNH-108,L1,8,Углеродистая сталь 
,SLNH-109.5,L1,9.5,Углеродистая сталь 
,SLNH-110,L1,10,Углеродистая сталь 
,SLNH-112,L1,12,Углеродистая сталь 
,SLNH-212.7,L2,12.7,Углеродистая сталь 
,SLNH-213.5,L2,13.5,Углеродистая сталь 
,SLNH-214,L2,14,Углеродистая сталь 
,SLNH-215,L2,15,Углеродистая сталь 
,SLNH-216,L2,16,Углеродистая сталь 
,SLNH-217.2,L2,17.2,Углеродистая сталь 
,SLNH-218,L2,18,Углеродистая сталь 
,SLNH-319,L3,19,Углеродистая сталь 
,SLNH-320,L3,20,Углеродистая сталь 
,SLNH-321.3,L3,21.3,Углеродистая сталь 
,SLNH-322,L3,22,Углеродистая сталь 
,SLNH-325,L3,25,Углеродистая сталь 
,SLNH-426.9,L4,26.9,Углеродистая сталь 
,SLNH-428,L4,28,Углеродистая сталь 
,SLNH-430,L4,30,Углеродистая сталь 
,SLNH-532,L5,32,Углеродистая сталь 
,SLNH-533.7,L5,33.7,Углеродистая сталь 
,SLNH-535,L5,35,Углеродистая сталь 
,SLNH-538,L5,38,Углеродистая сталь 
,SLNH-540,L5,40,Углеродистая сталь 
,SLNH-542,L5,42,Углеродистая сталь 
,SLNH-644.5,L6,44.5,Углеродистая сталь 
,SLNH-648.3,L6,48.3,Углеродистая сталь 
,SLNH-650.8,L6,50.8,Углеродистая сталь 
,SLNH-757.2,L7,57.2,Углеродистая сталь 
,SLNH-760.3,L7,60.3,Углеродистая сталь 
,SLNH-763.5,L7,63.5,Углеродистая сталь 
,SLNH-770,L7,70,Углеродистая сталь 
,SLNH-773,L7,73,Углеродистая сталь 
,SLNH-776.1,L7,76.1,Углеродистая сталь 
,SLNH-888.9,L8,88.9,Углеродистая сталь 
,SLNH-8102,L8,102,Углеродистая сталь 
,SLNH-106S,L1,6,Нержавеющая сталь 
,SLNH-106.4S,L1,6.4,Нержавеющая сталь 
,SLNH-108S,L1,8,Нержавеющая сталь 
,SLNH-109.5S,L1,9.5,Нержавеющая сталь 
,SLNH-110S,L1,10,Нержавеющая сталь 
,SLNH-112S,L1,12,Нержавеющая сталь 
,SLNH-212.7S,L2,12.7,Нержавеющая сталь 
,SLNH-213.5S,L2,13.5,Нержавеющая сталь 
,SLNH-214S,L2,14,Нержавеющая сталь 
,SLNH-215S,L2,15,Нержавеющая сталь 
,SLNH-216S,L2,16,Нержавеющая сталь 
,SLNH-217.2S,L2,17.2,Нержавеющая сталь 
,SLNH-218S,L2,18,Нержавеющая сталь 
,SLNH-319S,L3,19,Нержавеющая сталь 
,SLNH-320S,L3,20,Нержавеющая сталь 
,SLNH-321.3S,L3,21.3,Нержавеющая сталь 
,SLNH-322S,L3,22,Нержавеющая сталь 
,SLNH-325S,L3,25,Нержавеющая сталь 
,SLNH-426.9S,L4,26.9,Нержавеющая сталь 
,SLNH-428S,L4,28,Нержавеющая сталь 
,SLNH-430S,L4,30,Нержавеющая сталь 
,SLNH-532S,L5,32,Нержавеющая сталь 
,SLNH-533.7S,L5,33.7,Нержавеющая сталь 
,SLNH-535S,L5,35,Нержавеющая сталь 
,SLNH-538S,L5,38,Нержавеющая сталь 
,SLNH-540S,L5,40,Нержавеющая сталь 
,SLNH-542S,L5,42,Нержавеющая сталь 
,SLNH-644.5S,L6,44.5,Нержавеющая сталь 
,SLNH-648.3S,L6,48.3,Нержавеющая сталь 
,SLNH-650.8S,L6,50.8,Нержавеющая сталь 
,SLNH-757.2S,L7,57.2,Нержавеющая сталь 
,SLNH-760.3S,L7,60.3,Нержавеющая сталь 
,SLNH-763.5S,L7,63.5,Нержавеющая сталь 
,SLNH-770S,L7,70,Нержавеющая сталь 
,SLNH-773S,L7,73,Нержавеющая сталь 
,SLNH-776.1S,L7,76.1,Нержавеющая сталь 
,SLNH-888.9S,L8,88.9,Нержавеющая сталь 
,SLNH-8102S,L8,102,Нержавеющая сталь 
