#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLB-106,L1,6,Углеродистая сталь 
,SLLB-106.4,L1,6.4,Углеродистая сталь 
,SLLB-108,L1,8,Углеродистая сталь 
,SLLB-109.5,L1,9.5,Углеродистая сталь 
,SLLB-110,L1,10,Углеродистая сталь 
,SLLB-112,L1,12,Углеродистая сталь 
,SLLB-212.7,L2,12.7,Углеродистая сталь 
,SLLB-213.5,L2,13.5,Углеродистая сталь 
,SLLB-214,L2,14,Углеродистая сталь 
,SLLB-215,L2,15,Углеродистая сталь 
,SLLB-216,L2,16,Углеродистая сталь 
,SLLB-217.2,L2,17.2,Углеродистая сталь 
,SLLB-218,L2,18,Углеродистая сталь 
,SLLB-319,L3,19,Углеродистая сталь 
,SLLB-320,L3,20,Углеродистая сталь 
,SLLB-321.3,L3,21.3,Углеродистая сталь 
,SLLB-322,L3,22,Углеродистая сталь 
,SLLB-325,L3,25,Углеродистая сталь 
,SLLB-426.9,L4,26.9,Углеродистая сталь 
,SLLB-428,L4,28,Углеродистая сталь 
,SLLB-430,L4,30,Углеродистая сталь 
,SLLB-532,L5,32,Углеродистая сталь 
,SLLB-533.7,L5,33.7,Углеродистая сталь 
,SLLB-535,L5,35,Углеродистая сталь 
,SLLB-538,L5,38,Углеродистая сталь 
,SLLB-540,L5,40,Углеродистая сталь 
,SLLB-542,L5,42,Углеродистая сталь 
,SLLB-644.5,L6,44.5,Углеродистая сталь 
,SLLB-648.3,L6,48.3,Углеродистая сталь 
,SLLB-650.8,L6,50.8,Углеродистая сталь 
,SLLB-757.2,L7,57.2,Углеродистая сталь 
,SLLB-760.3,L7,60.3,Углеродистая сталь 
,SLLB-763.5,L7,63.5,Углеродистая сталь 
,SLLB-770,L7,70,Углеродистая сталь 
,SLLB-773,L7,73,Углеродистая сталь 
,SLLB-776.1,L7,76.1,Углеродистая сталь 
,SLLB-888.9,L8,88.9,Углеродистая сталь 
,SLLB-8102,L8,102,Углеродистая сталь 
,SLLB-106S,L1,6,Нержавеющая сталь 
,SLLB-106.4S,L1,6.4,Нержавеющая сталь 
,SLLB-108S,L1,8,Нержавеющая сталь 
,SLLB-109.5S,L1,9.5,Нержавеющая сталь 
,SLLB-110S,L1,10,Нержавеющая сталь 
,SLLB-112S,L1,12,Нержавеющая сталь 
,SLLB-212.7S,L2,12.7,Нержавеющая сталь 
,SLLB-213.5S,L2,13.5,Нержавеющая сталь 
,SLLB-214S,L2,14,Нержавеющая сталь 
,SLLB-215S,L2,15,Нержавеющая сталь 
,SLLB-216S,L2,16,Нержавеющая сталь 
,SLLB-217.2S,L2,17.2,Нержавеющая сталь 
,SLLB-218S,L2,18,Нержавеющая сталь 
,SLLB-319S,L3,19,Нержавеющая сталь 
,SLLB-320S,L3,20,Нержавеющая сталь 
,SLLB-321.3S,L3,21.3,Нержавеющая сталь 
,SLLB-322S,L3,22,Нержавеющая сталь 
,SLLB-325S,L3,25,Нержавеющая сталь 
,SLLB-426.9S,L4,26.9,Нержавеющая сталь 
,SLLB-428S,L4,28,Нержавеющая сталь 
,SLLB-430S,L4,30,Нержавеющая сталь 
,SLLB-532S,L5,32,Нержавеющая сталь 
,SLLB-533.7S,L5,33.7,Нержавеющая сталь 
,SLLB-535S,L5,35,Нержавеющая сталь 
,SLLB-538S,L5,38,Нержавеющая сталь 
,SLLB-540S,L5,40,Нержавеющая сталь 
,SLLB-542S,L5,42,Нержавеющая сталь 
,SLLB-644.5S,L6,44.5,Нержавеющая сталь 
,SLLB-648.3S,L6,48.3,Нержавеющая сталь 
,SLLB-650.8S,L6,50.8,Нержавеющая сталь 
,SLLB-757.2S,L7,57.2,Нержавеющая сталь 
,SLLB-760.3S,L7,60.3,Нержавеющая сталь 
,SLLB-763.5S,L7,63.5,Нержавеющая сталь 
,SLLB-770S,L7,70,Нержавеющая сталь 
,SLLB-773S,L7,73,Нержавеющая сталь 
,SLLB-776.1S,L7,76.1,Нержавеющая сталь 
,SLLB-888.9S,L8,88.9,Нержавеющая сталь 
,SLLB-8102S,L8,102,Нержавеющая сталь 
