#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPD-106,L1,6,Углеродистая сталь 
,SLPD-106.4,L1,6.4,Углеродистая сталь 
,SLPD-108,L1,8,Углеродистая сталь 
,SLPD-109.5,L1,9.5,Углеродистая сталь 
,SLPD-110,L1,10,Углеродистая сталь 
,SLPD-112,L1,12,Углеродистая сталь 
,SLPD-212.7,L2,12.7,Углеродистая сталь 
,SLPD-213.5,L2,13.5,Углеродистая сталь 
,SLPD-214,L2,14,Углеродистая сталь 
,SLPD-215,L2,15,Углеродистая сталь 
,SLPD-216,L2,16,Углеродистая сталь 
,SLPD-217.2,L2,17.2,Углеродистая сталь 
,SLPD-218,L2,18,Углеродистая сталь 
,SLPD-319,L3,19,Углеродистая сталь 
,SLPD-320,L3,20,Углеродистая сталь 
,SLPD-321.3,L3,21.3,Углеродистая сталь 
,SLPD-322,L3,22,Углеродистая сталь 
,SLPD-325,L3,25,Углеродистая сталь 
,SLPD-426.9,L4,26.9,Углеродистая сталь 
,SLPD-428,L4,28,Углеродистая сталь 
,SLPD-430,L4,30,Углеродистая сталь 
,SLPD-532,L5,32,Углеродистая сталь 
,SLPD-533.7,L5,33.7,Углеродистая сталь 
,SLPD-535,L5,35,Углеродистая сталь 
,SLPD-538,L5,38,Углеродистая сталь 
,SLPD-540,L5,40,Углеродистая сталь 
,SLPD-542,L5,42,Углеродистая сталь 
,SLPD-644.5,L6,44.5,Углеродистая сталь 
,SLPD-648.3,L6,48.3,Углеродистая сталь 
,SLPD-650.8,L6,50.8,Углеродистая сталь 
,SLPD-757.2,L7,57.2,Углеродистая сталь 
,SLPD-760.3,L7,60.3,Углеродистая сталь 
,SLPD-763.5,L7,63.5,Углеродистая сталь 
,SLPD-770,L7,70,Углеродистая сталь 
,SLPD-773,L7,73,Углеродистая сталь 
,SLPD-776.1,L7,76.1,Углеродистая сталь 
,SLPD-888.9,L8,88.9,Углеродистая сталь 
,SLPD-8102,L8,102,Углеродистая сталь 
,SLPD-106S,L1,6,Нержавеющая сталь 
,SLPD-106.4S,L1,6.4,Нержавеющая сталь 
,SLPD-108S,L1,8,Нержавеющая сталь 
,SLPD-109.5S,L1,9.5,Нержавеющая сталь 
,SLPD-110S,L1,10,Нержавеющая сталь 
,SLPD-112S,L1,12,Нержавеющая сталь 
,SLPD-212.7S,L2,12.7,Нержавеющая сталь 
,SLPD-213.5S,L2,13.5,Нержавеющая сталь 
,SLPD-214S,L2,14,Нержавеющая сталь 
,SLPD-215S,L2,15,Нержавеющая сталь 
,SLPD-216S,L2,16,Нержавеющая сталь 
,SLPD-217.2S,L2,17.2,Нержавеющая сталь 
,SLPD-218S,L2,18,Нержавеющая сталь 
,SLPD-319S,L3,19,Нержавеющая сталь 
,SLPD-320S,L3,20,Нержавеющая сталь 
,SLPD-321.3S,L3,21.3,Нержавеющая сталь 
,SLPD-322S,L3,22,Нержавеющая сталь 
,SLPD-325S,L3,25,Нержавеющая сталь 
,SLPD-426.9S,L4,26.9,Нержавеющая сталь 
,SLPD-428S,L4,28,Нержавеющая сталь 
,SLPD-430S,L4,30,Нержавеющая сталь 
,SLPD-532S,L5,32,Нержавеющая сталь 
,SLPD-533.7S,L5,33.7,Нержавеющая сталь 
,SLPD-535S,L5,35,Нержавеющая сталь 
,SLPD-538S,L5,38,Нержавеющая сталь 
,SLPD-540S,L5,40,Нержавеющая сталь 
,SLPD-542S,L5,42,Нержавеющая сталь 
,SLPD-644.5S,L6,44.5,Нержавеющая сталь 
,SLPD-648.3S,L6,48.3,Нержавеющая сталь 
,SLPD-650.8S,L6,50.8,Нержавеющая сталь 
,SLPD-757.2S,L7,57.2,Нержавеющая сталь 
,SLPD-760.3S,L7,60.3,Нержавеющая сталь 
,SLPD-763.5S,L7,63.5,Нержавеющая сталь 
,SLPD-770S,L7,70,Нержавеющая сталь 
,SLPD-773S,L7,73,Нержавеющая сталь 
,SLPD-776.1S,L7,76.1,Нержавеющая сталь 
,SLPD-888.9S,L8,88.9,Нержавеющая сталь 
,SLPD-8102S,L8,102,Нержавеющая сталь 
