#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLA-106,L1,6,Углеродистая сталь
,SLLA-106.4,L1,6.4,Углеродистая сталь
,SLLA-108,L1,8,Углеродистая сталь
,SLLA-109.5,L1,9.5,Углеродистая сталь
,SLLA-110,L1,10,Углеродистая сталь
,SLLA-112,L1,12,Углеродистая сталь
,SLLA-212.7,L2,12.7,Углеродистая сталь
,SLLA-213.5,L2,13.5,Углеродистая сталь
,SLLA-214,L2,14,Углеродистая сталь
,SLLA-215,L2,15,Углеродистая сталь
,SLLA-216,L2,16,Углеродистая сталь
,SLLA-217.2,L2,17.2,Углеродистая сталь
,SLLA-218,L2,18,Углеродистая сталь
,SLLA-319,L3,19,Углеродистая сталь
,SLLA-320,L3,20,Углеродистая сталь
,SLLA-321.3,L3,21.3,Углеродистая сталь
,SLLA-322,L3,22,Углеродистая сталь
,SLLA-325,L3,25,Углеродистая сталь
,SLLA-426.9,L4,26.9,Углеродистая сталь
,SLLA-428,L4,28,Углеродистая сталь
,SLLA-430,L4,30,Углеродистая сталь
,SLLA-532,L5,32,Углеродистая сталь
,SLLA-533.7,L5,33.7,Углеродистая сталь
,SLLA-535,L5,35,Углеродистая сталь
,SLLA-538,L5,38,Углеродистая сталь
,SLLA-540,L5,40,Углеродистая сталь
,SLLA-542,L5,42,Углеродистая сталь
,SLLA-644.5,L6,44.5,Углеродистая сталь
,SLLA-648.3,L6,48.3,Углеродистая сталь
,SLLA-650.8,L6,50.8,Углеродистая сталь
,SLLA-757.2,L7,57.2,Углеродистая сталь
,SLLA-760.3,L7,60.3,Углеродистая сталь
,SLLA-763.5,L7,63.5,Углеродистая сталь
,SLLA-770,L7,70,Углеродистая сталь
,SLLA-773,L7,73,Углеродистая сталь
,SLLA-776.1,L7,76.1,Углеродистая сталь
,SLLA-888.9,L8,88.9,Углеродистая сталь
,SLLA-8102,L8,102,Углеродистая сталь
,SLLA-106S,L1,6,Нержавеющая сталь
,SLLA-106.4S,L1,6.4,Нержавеющая сталь
,SLLA-108S,L1,8,Нержавеющая сталь
,SLLA-109.5S,L1,9.5,Нержавеющая сталь
,SLLA-110S,L1,10,Нержавеющая сталь
,SLLA-112S,L1,12,Нержавеющая сталь
,SLLA-212.7S,L2,12.7,Нержавеющая сталь
,SLLA-213.5S,L2,13.5,Нержавеющая сталь
,SLLA-214S,L2,14,Нержавеющая сталь
,SLLA-215S,L2,15,Нержавеющая сталь
,SLLA-216S,L2,16,Нержавеющая сталь
,SLLA-217.2S,L2,17.2,Нержавеющая сталь
,SLLA-218S,L2,18,Нержавеющая сталь
,SLLA-319S,L3,19,Нержавеющая сталь
,SLLA-320S,L3,20,Нержавеющая сталь
,SLLA-321.3S,L3,21.3,Нержавеющая сталь
,SLLA-322S,L3,22,Нержавеющая сталь
,SLLA-325S,L3,25,Нержавеющая сталь
,SLLA-426.9S,L4,26.9,Нержавеющая сталь
,SLLA-428S,L4,28,Нержавеющая сталь
,SLLA-430S,L4,30,Нержавеющая сталь
,SLLA-532S,L5,32,Нержавеющая сталь
,SLLA-533.7S,L5,33.7,Нержавеющая сталь
,SLLA-535S,L5,35,Нержавеющая сталь
,SLLA-538S,L5,38,Нержавеющая сталь
,SLLA-540S,L5,40,Нержавеющая сталь
,SLLA-542S,L5,42,Нержавеющая сталь
,SLLA-644.5S,L6,44.5,Нержавеющая сталь
,SLLA-648.3S,L6,48.3,Нержавеющая сталь
,SLLA-650.8S,L6,50.8,Нержавеющая сталь
,SLLA-757.2S,L7,57.2,Нержавеющая сталь
,SLLA-760.3S,L7,60.3,Нержавеющая сталь
,SLLA-763.5S,L7,63.5,Нержавеющая сталь
,SLLA-770S,L7,70,Нержавеющая сталь
,SLLA-773S,L7,73,Нержавеющая сталь
,SLLA-776.1S,L7,76.1,Нержавеющая сталь
,SLLA-888.9S,L8,88.9,Нержавеющая сталь
,SLLA-8102S,L8,102,Нержавеющая сталь
