#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPD-106,T1,6,Углеродистая сталь 
,STPD-106.4,T1,6.4,Углеродистая сталь 
,STPD-108,T1,8,Углеродистая сталь 
,STPD-109.5,T1,9.5,Углеродистая сталь 
,STPD-110,T1,10,Углеродистая сталь 
,STPD-112,T1,12,Углеродистая сталь 
,STPD-212.7,T2,12.7,Углеродистая сталь 
,STPD-213.5,T2,13.5,Углеродистая сталь 
,STPD-214,T2,14,Углеродистая сталь 
,STPD-215,T2,15,Углеродистая сталь 
,STPD-216,T2,16,Углеродистая сталь 
,STPD-217.2,T2,17.2,Углеродистая сталь 
,STPD-218,T2,18,Углеродистая сталь 
,STPD-319,T3,19,Углеродистая сталь 
,STPD-320,T3,20,Углеродистая сталь 
,STPD-321.3,T3,21.3,Углеродистая сталь 
,STPD-322,T3,22,Углеродистая сталь 
,STPD-325,T3,25,Углеродистая сталь 
,STPD-426.9,T4,26.9,Углеродистая сталь 
,STPD-428,T4,28,Углеродистая сталь 
,STPD-430,T4,30,Углеродистая сталь 
,STPD-532,T5,32,Углеродистая сталь 
,STPD-533.7,T5,33.7,Углеродистая сталь 
,STPD-535,T5,35,Углеродистая сталь 
,STPD-538,T5,38,Углеродистая сталь 
,STPD-540,T5,40,Углеродистая сталь 
,STPD-542,T5,42,Углеродистая сталь 
,STPD-106S,T1,6,Нержавеющая сталь 
,STPD-106.4S,T1,6.4,Нержавеющая сталь 
,STPD-108S,T1,8,Нержавеющая сталь 
,STPD-109.5S,T1,9.5,Нержавеющая сталь 
,STPD-110S,T1,10,Нержавеющая сталь 
,STPD-112S,T1,12,Нержавеющая сталь 
,STPD-212.7S,T2,12.7,Нержавеющая сталь 
,STPD-213.5S,T2,13.5,Нержавеющая сталь 
,STPD-214S,T2,14,Нержавеющая сталь 
,STPD-215S,T2,15,Нержавеющая сталь 
,STPD-216S,T2,16,Нержавеющая сталь 
,STPD-217.2S,T2,17.2,Нержавеющая сталь 
,STPD-218S,T2,18,Нержавеющая сталь 
,STPD-319S,T3,19,Нержавеющая сталь 
,STPD-320S,T3,20,Нержавеющая сталь 
,STPD-321.3S,T3,21.3,Нержавеющая сталь 
,STPD-322S,T3,22,Нержавеющая сталь 
,STPD-325S,T3,25,Нержавеющая сталь 
,STPD-426.9S,T4,26.9,Нержавеющая сталь 
,STPD-428S,T4,28,Нержавеющая сталь 
,STPD-430S,T4,30,Нержавеющая сталь 
,STPD-532S,T5,32,Нержавеющая сталь 
,STPD-533.7S,T5,33.7,Нержавеющая сталь 
,STPD-535S,T5,35,Нержавеющая сталь 
,STPD-538S,T5,38,Нержавеющая сталь 
,STPD-540S,T5,40,Нержавеющая сталь 
,STPD-542S,T5,42,Нержавеющая сталь 
