#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLK-006,L0,6,Углеродистая сталь 
,SLLK-006.4,L0,6.4,Углеродистая сталь 
,SLLK-008,L0,8,Углеродистая сталь 
,SLLK-009.5,L0,9.5,Углеродистая сталь 
,SLLK-010,L0,10,Углеродистая сталь 
,SLLK-012,L0,12,Углеродистая сталь 
,SLLK-006S,L0,6,Нержавеющая сталь 
,SLLK-006.4S,L0,6.4,Нержавеющая сталь 
,SLLK-008S,L0,8,Нержавеющая сталь 
,SLLK-009.5S,L0,9.5,Нержавеющая сталь 
,SLLK-010S,L0,10,Нержавеющая сталь 
,SLLK-012S,L0,12,Нержавеющая сталь 
