#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPH-006,L0,6,Углеродистая сталь 
,SLPH-006.4,L0,6.4,Углеродистая сталь 
,SLPH-008,L0,8,Углеродистая сталь 
,SLPH-009.5,L0,9.5,Углеродистая сталь 
,SLPH-010,L0,10,Углеродистая сталь 
,SLPH-012,L0,12,Углеродистая сталь 
,SLPH-006S,L0,6,Нержавеющая сталь 
,SLPH-006.4S,L0,6.4,Нержавеющая сталь 
,SLPH-008S,L0,8,Нержавеющая сталь 
,SLPH-009.5S,L0,9.5,Нержавеющая сталь 
,SLPH-010S,L0,10,Нержавеющая сталь 
,SLPH-012S,L0,12,Нержавеющая сталь 
