#,Заказной код,Параметр:Заказной код:Размер,Параметр:Заказной код:Материал
,THT-3R60-3-0.5,3MMx0.5,S316/316L
,THT-3R60-6-1.0,6MMX1.0,S316/316L
,THT-3R60-6-1.5,6MMX1.5,S316/316L
,THT-3R60-10-1.0,10MMX1.0,S316/316L
,THT-3R60-10-1.5,10MMX1.5,S316/316L
,THT-3R60-12-2.0,12MMX2.0,S316/316L
,THT-3R60-14-2.0,14MMX2.0,S316/316L
,THT-3R60-16-1.5,16MMX1.5,S316/316L
,THT-3R60-18-1.5,18MMX1.5,S316/316L
,THT-3R60-20-2.0,20MMX2.0,S316/316L
,THT-3R60-22-2.0,22MMX2.0,S316/316L
,THT-3R60-25-2.0,25MMX2.0,S316/316L
,THT-3R60-25-2.5,25MMX2.5,S316/316L
,THT-5R75-32-2.5,32MMX2.5,S316/316L
,THT-3R60-38-3.0,38MMX3.0,S316/316L
,THT-3R60-3.18-0.71,1/8X0.028,S316/316L
,THT-3R60-12.7-1.65,1/2X0.065,S316/316L
