#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLD-006,L0,6,Углеродистая сталь 
,SLLD-006.4,L0,6.4,Углеродистая сталь 
,SLLD-008,L0,8,Углеродистая сталь 
,SLLD-009.5,L0,9.5,Углеродистая сталь 
,SLLD-010,L0,10,Углеродистая сталь 
,SLLD-012,L0,12,Углеродистая сталь 
,SLLD-006S,L0,6,Нержавеющая сталь 
,SLLD-006.4S,L0,6.4,Нержавеющая сталь 
,SLLD-008S,L0,8,Нержавеющая сталь 
,SLLD-009.5S,L0,9.5,Нержавеющая сталь 
,SLLD-010S,L0,10,Нержавеющая сталь 
,SLLD-012S,L0,12,Нержавеющая сталь 
