#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNN-106,T1,6,Углеродистая сталь 
,STNN-106.4,T1,6.4,Углеродистая сталь 
,STNN-108,T1,8,Углеродистая сталь 
,STNN-109.5,T1,9.5,Углеродистая сталь 
,STNN-110,T1,10,Углеродистая сталь 
,STNN-112,T1,12,Углеродистая сталь 
,STNN-212.7,T2,12.7,Углеродистая сталь 
,STNN-213.5,T2,13.5,Углеродистая сталь 
,STNN-214,T2,14,Углеродистая сталь 
,STNN-215,T2,15,Углеродистая сталь 
,STNN-216,T2,16,Углеродистая сталь 
,STNN-217.2,T2,17.2,Углеродистая сталь 
,STNN-218,T2,18,Углеродистая сталь 
,STNN-319,T3,19,Углеродистая сталь 
,STNN-320,T3,20,Углеродистая сталь 
,STNN-321.3,T3,21.3,Углеродистая сталь 
,STNN-322,T3,22,Углеродистая сталь 
,STNN-325,T3,25,Углеродистая сталь 
,STNN-426.9,T4,26.9,Углеродистая сталь 
,STNN-428,T4,28,Углеродистая сталь 
,STNN-430,T4,30,Углеродистая сталь 
,STNN-532,T5,32,Углеродистая сталь 
,STNN-533.7,T5,33.7,Углеродистая сталь 
,STNN-535,T5,35,Углеродистая сталь 
,STNN-538,T5,38,Углеродистая сталь 
,STNN-540,T5,40,Углеродистая сталь 
,STNN-542,T5,42,Углеродистая сталь 
,STNN-106S,T1,6,Нержавеющая сталь 
,STNN-106.4S,T1,6.4,Нержавеющая сталь 
,STNN-108S,T1,8,Нержавеющая сталь 
,STNN-109.5S,T1,9.5,Нержавеющая сталь 
,STNN-110S,T1,10,Нержавеющая сталь 
,STNN-112S,T1,12,Нержавеющая сталь 
,STNN-212.7S,T2,12.7,Нержавеющая сталь 
,STNN-213.5S,T2,13.5,Нержавеющая сталь 
,STNN-214S,T2,14,Нержавеющая сталь 
,STNN-215S,T2,15,Нержавеющая сталь 
,STNN-216S,T2,16,Нержавеющая сталь 
,STNN-217.2S,T2,17.2,Нержавеющая сталь 
,STNN-218S,T2,18,Нержавеющая сталь 
,STNN-319S,T3,19,Нержавеющая сталь 
,STNN-320S,T3,20,Нержавеющая сталь 
,STNN-321.3S,T3,21.3,Нержавеющая сталь 
,STNN-322S,T3,22,Нержавеющая сталь 
,STNN-325S,T3,25,Нержавеющая сталь 
,STNN-426.9S,T4,26.9,Нержавеющая сталь 
,STNN-428S,T4,28,Нержавеющая сталь 
,STNN-430S,T4,30,Нержавеющая сталь 
,STNN-532S,T5,32,Нержавеющая сталь 
,STNN-533.7S,T5,33.7,Нержавеющая сталь 
,STNN-535S,T5,35,Нержавеющая сталь 
,STNN-538S,T5,38,Нержавеющая сталь 
,STNN-540S,T5,40,Нержавеющая сталь 
,STNN-542S,T5,42,Нержавеющая сталь 
