#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLH-106,L1,6,Углеродистая сталь 
,SLLH-106.4,L1,6.4,Углеродистая сталь 
,SLLH-108,L1,8,Углеродистая сталь 
,SLLH-109.5,L1,9.5,Углеродистая сталь 
,SLLH-110,L1,10,Углеродистая сталь 
,SLLH-112,L1,12,Углеродистая сталь 
,SLLH-212.7,L2,12.7,Углеродистая сталь 
,SLLH-213.5,L2,13.5,Углеродистая сталь 
,SLLH-214,L2,14,Углеродистая сталь 
,SLLH-215,L2,15,Углеродистая сталь 
,SLLH-216,L2,16,Углеродистая сталь 
,SLLH-217.2,L2,17.2,Углеродистая сталь 
,SLLH-218,L2,18,Углеродистая сталь 
,SLLH-319,L3,19,Углеродистая сталь 
,SLLH-320,L3,20,Углеродистая сталь 
,SLLH-321.3,L3,21.3,Углеродистая сталь 
,SLLH-322,L3,22,Углеродистая сталь 
,SLLH-325,L3,25,Углеродистая сталь 
,SLLH-426.9,L4,26.9,Углеродистая сталь 
,SLLH-428,L4,28,Углеродистая сталь 
,SLLH-430,L4,30,Углеродистая сталь 
,SLLH-532,L5,32,Углеродистая сталь 
,SLLH-533.7,L5,33.7,Углеродистая сталь 
,SLLH-535,L5,35,Углеродистая сталь 
,SLLH-538,L5,38,Углеродистая сталь 
,SLLH-540,L5,40,Углеродистая сталь 
,SLLH-542,L5,42,Углеродистая сталь 
,SLLH-644.5,L6,44.5,Углеродистая сталь 
,SLLH-648.3,L6,48.3,Углеродистая сталь 
,SLLH-650.8,L6,50.8,Углеродистая сталь 
,SLLH-757.2,L7,57.2,Углеродистая сталь 
,SLLH-760.3,L7,60.3,Углеродистая сталь 
,SLLH-763.5,L7,63.5,Углеродистая сталь 
,SLLH-770,L7,70,Углеродистая сталь 
,SLLH-773,L7,73,Углеродистая сталь 
,SLLH-776.1,L7,76.1,Углеродистая сталь 
,SLLH-888.9,L8,88.9,Углеродистая сталь 
,SLLH-8102,L8,102,Углеродистая сталь 
,SLLH-106S,L1,6,Нержавеющая сталь 
,SLLH-106.4S,L1,6.4,Нержавеющая сталь 
,SLLH-108S,L1,8,Нержавеющая сталь 
,SLLH-109.5S,L1,9.5,Нержавеющая сталь 
,SLLH-110S,L1,10,Нержавеющая сталь 
,SLLH-112S,L1,12,Нержавеющая сталь 
,SLLH-212.7S,L2,12.7,Нержавеющая сталь 
,SLLH-213.5S,L2,13.5,Нержавеющая сталь 
,SLLH-214S,L2,14,Нержавеющая сталь 
,SLLH-215S,L2,15,Нержавеющая сталь 
,SLLH-216S,L2,16,Нержавеющая сталь 
,SLLH-217.2S,L2,17.2,Нержавеющая сталь 
,SLLH-218S,L2,18,Нержавеющая сталь 
,SLLH-319S,L3,19,Нержавеющая сталь 
,SLLH-320S,L3,20,Нержавеющая сталь 
,SLLH-321.3S,L3,21.3,Нержавеющая сталь 
,SLLH-322S,L3,22,Нержавеющая сталь 
,SLLH-325S,L3,25,Нержавеющая сталь 
,SLLH-426.9S,L4,26.9,Нержавеющая сталь 
,SLLH-428S,L4,28,Нержавеющая сталь 
,SLLH-430S,L4,30,Нержавеющая сталь 
,SLLH-532S,L5,32,Нержавеющая сталь 
,SLLH-533.7S,L5,33.7,Нержавеющая сталь 
,SLLH-535S,L5,35,Нержавеющая сталь 
,SLLH-538S,L5,38,Нержавеющая сталь 
,SLLH-540S,L5,40,Нержавеющая сталь 
,SLLH-542S,L5,42,Нержавеющая сталь 
,SLLH-644.5S,L6,44.5,Нержавеющая сталь 
,SLLH-648.3S,L6,48.3,Нержавеющая сталь 
,SLLH-650.8S,L6,50.8,Нержавеющая сталь 
,SLLH-757.2S,L7,57.2,Нержавеющая сталь 
,SLLH-760.3S,L7,60.3,Нержавеющая сталь 
,SLLH-763.5S,L7,63.5,Нержавеющая сталь 
,SLLH-770S,L7,70,Нержавеющая сталь 
,SLLH-773S,L7,73,Нержавеющая сталь 
,SLLH-776.1S,L7,76.1,Нержавеющая сталь 
,SLLH-888.9S,L8,88.9,Нержавеющая сталь 
,SLLH-8102S,L8,102,Нержавеющая сталь 
