#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPM-106,T1,6,Углеродистая сталь 
,STPM-106.4,T1,6.4,Углеродистая сталь 
,STPM-108,T1,8,Углеродистая сталь 
,STPM-109.5,T1,9.5,Углеродистая сталь 
,STPM-110,T1,10,Углеродистая сталь 
,STPM-112,T1,12,Углеродистая сталь 
,STPM-212.7,T2,12.7,Углеродистая сталь 
,STPM-213.5,T2,13.5,Углеродистая сталь 
,STPM-214,T2,14,Углеродистая сталь 
,STPM-215,T2,15,Углеродистая сталь 
,STPM-216,T2,16,Углеродистая сталь 
,STPM-217.2,T2,17.2,Углеродистая сталь 
,STPM-218,T2,18,Углеродистая сталь 
,STPM-319,T3,19,Углеродистая сталь 
,STPM-320,T3,20,Углеродистая сталь 
,STPM-321.3,T3,21.3,Углеродистая сталь 
,STPM-322,T3,22,Углеродистая сталь 
,STPM-325,T3,25,Углеродистая сталь 
,STPM-426.9,T4,26.9,Углеродистая сталь 
,STPM-428,T4,28,Углеродистая сталь 
,STPM-430,T4,30,Углеродистая сталь 
,STPM-532,T5,32,Углеродистая сталь 
,STPM-533.7,T5,33.7,Углеродистая сталь 
,STPM-535,T5,35,Углеродистая сталь 
,STPM-538,T5,38,Углеродистая сталь 
,STPM-540,T5,40,Углеродистая сталь 
,STPM-542,T5,42,Углеродистая сталь 
,STPM-106S,T1,6,Нержавеющая сталь 
,STPM-106.4S,T1,6.4,Нержавеющая сталь 
,STPM-108S,T1,8,Нержавеющая сталь 
,STPM-109.5S,T1,9.5,Нержавеющая сталь 
,STPM-110S,T1,10,Нержавеющая сталь 
,STPM-112S,T1,12,Нержавеющая сталь 
,STPM-212.7S,T2,12.7,Нержавеющая сталь 
,STPM-213.5S,T2,13.5,Нержавеющая сталь 
,STPM-214S,T2,14,Нержавеющая сталь 
,STPM-215S,T2,15,Нержавеющая сталь 
,STPM-216S,T2,16,Нержавеющая сталь 
,STPM-217.2S,T2,17.2,Нержавеющая сталь 
,STPM-218S,T2,18,Нержавеющая сталь 
,STPM-319S,T3,19,Нержавеющая сталь 
,STPM-320S,T3,20,Нержавеющая сталь 
,STPM-321.3S,T3,21.3,Нержавеющая сталь 
,STPM-322S,T3,22,Нержавеющая сталь 
,STPM-325S,T3,25,Нержавеющая сталь 
,STPM-426.9S,T4,26.9,Нержавеющая сталь 
,STPM-428S,T4,28,Нержавеющая сталь 
,STPM-430S,T4,30,Нержавеющая сталь 
,STPM-532S,T5,32,Нержавеющая сталь 
,STPM-533.7S,T5,33.7,Нержавеющая сталь 
,STPM-535S,T5,35,Нержавеющая сталь 
,STPM-538S,T5,38,Нержавеющая сталь 
,STPM-540S,T5,40,Нержавеющая сталь 
,STPM-542S,T5,42,Нержавеющая сталь 
