#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPA-106,T1,6,Углеродистая сталь 
,STPA-106.4,T1,6.4,Углеродистая сталь 
,STPA-108,T1,8,Углеродистая сталь 
,STPA-109.5,T1,9.5,Углеродистая сталь 
,STPA-110,T1,10,Углеродистая сталь 
,STPA-112,T1,12,Углеродистая сталь 
,STPA-212.7,T2,12.7,Углеродистая сталь 
,STPA-213.5,T2,13.5,Углеродистая сталь 
,STPA-214,T2,14,Углеродистая сталь 
,STPA-215,T2,15,Углеродистая сталь 
,STPA-216,T2,16,Углеродистая сталь 
,STPA-217.2,T2,17.2,Углеродистая сталь 
,STPA-218,T2,18,Углеродистая сталь 
,STPA-319,T3,19,Углеродистая сталь 
,STPA-320,T3,20,Углеродистая сталь 
,STPA-321.3,T3,21.3,Углеродистая сталь 
,STPA-322,T3,22,Углеродистая сталь 
,STPA-325,T3,25,Углеродистая сталь 
,STPA-426.9,T4,26.9,Углеродистая сталь 
,STPA-428,T4,28,Углеродистая сталь 
,STPA-430,T4,30,Углеродистая сталь 
,STPA-532,T5,32,Углеродистая сталь 
,STPA-533.7,T5,33.7,Углеродистая сталь 
,STPA-535,T5,35,Углеродистая сталь 
,STPA-538,T5,38,Углеродистая сталь 
,STPA-540,T5,40,Углеродистая сталь 
,STPA-542,T5,42,Углеродистая сталь 
,STPA-106S,T1,6,Нержавеющая сталь 
,STPA-106.4S,T1,6.4,Нержавеющая сталь 
,STPA-108S,T1,8,Нержавеющая сталь 
,STPA-109.5S,T1,9.5,Нержавеющая сталь 
,STPA-110S,T1,10,Нержавеющая сталь 
,STPA-112S,T1,12,Нержавеющая сталь 
,STPA-212.7S,T2,12.7,Нержавеющая сталь 
,STPA-213.5S,T2,13.5,Нержавеющая сталь 
,STPA-214S,T2,14,Нержавеющая сталь 
,STPA-215S,T2,15,Нержавеющая сталь 
,STPA-216S,T2,16,Нержавеющая сталь 
,STPA-217.2S,T2,17.2,Нержавеющая сталь 
,STPA-218S,T2,18,Нержавеющая сталь 
,STPA-319S,T3,19,Нержавеющая сталь 
,STPA-320S,T3,20,Нержавеющая сталь 
,STPA-321.3S,T3,21.3,Нержавеющая сталь 
,STPA-322S,T3,22,Нержавеющая сталь 
,STPA-325S,T3,25,Нержавеющая сталь 
,STPA-426.9S,T4,26.9,Нержавеющая сталь 
,STPA-428S,T4,28,Нержавеющая сталь 
,STPA-430S,T4,30,Нержавеющая сталь 
,STPA-532S,T5,32,Нержавеющая сталь 
,STPA-533.7S,T5,33.7,Нержавеющая сталь 
,STPA-535S,T5,35,Нержавеющая сталь 
,STPA-538S,T5,38,Нержавеющая сталь 
,STPA-540S,T5,40,Нержавеющая сталь 
,STPA-542S,T5,42,Нержавеющая сталь 
