#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLND-106,L1,6,Углеродистая сталь 
,SLND-106.4,L1,6.4,Углеродистая сталь 
,SLND-108,L1,8,Углеродистая сталь 
,SLND-109.5,L1,9.5,Углеродистая сталь 
,SLND-110,L1,10,Углеродистая сталь 
,SLND-112,L1,12,Углеродистая сталь 
,SLND-212.7,L2,12.7,Углеродистая сталь 
,SLND-213.5,L2,13.5,Углеродистая сталь 
,SLND-214,L2,14,Углеродистая сталь 
,SLND-215,L2,15,Углеродистая сталь 
,SLND-216,L2,16,Углеродистая сталь 
,SLND-217.2,L2,17.2,Углеродистая сталь 
,SLND-218,L2,18,Углеродистая сталь 
,SLND-319,L3,19,Углеродистая сталь 
,SLND-320,L3,20,Углеродистая сталь 
,SLND-321.3,L3,21.3,Углеродистая сталь 
,SLND-322,L3,22,Углеродистая сталь 
,SLND-325,L3,25,Углеродистая сталь 
,SLND-426.9,L4,26.9,Углеродистая сталь 
,SLND-428,L4,28,Углеродистая сталь 
,SLND-430,L4,30,Углеродистая сталь 
,SLND-532,L5,32,Углеродистая сталь 
,SLND-533.7,L5,33.7,Углеродистая сталь 
,SLND-535,L5,35,Углеродистая сталь 
,SLND-538,L5,38,Углеродистая сталь 
,SLND-540,L5,40,Углеродистая сталь 
,SLND-542,L5,42,Углеродистая сталь 
,SLND-644.5,L6,44.5,Углеродистая сталь 
,SLND-648.3,L6,48.3,Углеродистая сталь 
,SLND-650.8,L6,50.8,Углеродистая сталь 
,SLND-757.2,L7,57.2,Углеродистая сталь 
,SLND-760.3,L7,60.3,Углеродистая сталь 
,SLND-763.5,L7,63.5,Углеродистая сталь 
,SLND-770,L7,70,Углеродистая сталь 
,SLND-773,L7,73,Углеродистая сталь 
,SLND-776.1,L7,76.1,Углеродистая сталь 
,SLND-888.9,L8,88.9,Углеродистая сталь 
,SLND-8102,L8,102,Углеродистая сталь 
,SLND-106S,L1,6,Нержавеющая сталь 
,SLND-106.4S,L1,6.4,Нержавеющая сталь 
,SLND-108S,L1,8,Нержавеющая сталь 
,SLND-109.5S,L1,9.5,Нержавеющая сталь 
,SLND-110S,L1,10,Нержавеющая сталь 
,SLND-112S,L1,12,Нержавеющая сталь 
,SLND-212.7S,L2,12.7,Нержавеющая сталь 
,SLND-213.5S,L2,13.5,Нержавеющая сталь 
,SLND-214S,L2,14,Нержавеющая сталь 
,SLND-215S,L2,15,Нержавеющая сталь 
,SLND-216S,L2,16,Нержавеющая сталь 
,SLND-217.2S,L2,17.2,Нержавеющая сталь 
,SLND-218S,L2,18,Нержавеющая сталь 
,SLND-319S,L3,19,Нержавеющая сталь 
,SLND-320S,L3,20,Нержавеющая сталь 
,SLND-321.3S,L3,21.3,Нержавеющая сталь 
,SLND-322S,L3,22,Нержавеющая сталь 
,SLND-325S,L3,25,Нержавеющая сталь 
,SLND-426.9S,L4,26.9,Нержавеющая сталь 
,SLND-428S,L4,28,Нержавеющая сталь 
,SLND-430S,L4,30,Нержавеющая сталь 
,SLND-532S,L5,32,Нержавеющая сталь 
,SLND-533.7S,L5,33.7,Нержавеющая сталь 
,SLND-535S,L5,35,Нержавеющая сталь 
,SLND-538S,L5,38,Нержавеющая сталь 
,SLND-540S,L5,40,Нержавеющая сталь 
,SLND-542S,L5,42,Нержавеющая сталь 
,SLND-644.5S,L6,44.5,Нержавеющая сталь 
,SLND-648.3S,L6,48.3,Нержавеющая сталь 
,SLND-650.8S,L6,50.8,Нержавеющая сталь 
,SLND-757.2S,L7,57.2,Нержавеющая сталь 
,SLND-760.3S,L7,60.3,Нержавеющая сталь 
,SLND-763.5S,L7,63.5,Нержавеющая сталь 
,SLND-770S,L7,70,Нержавеющая сталь 
,SLND-773S,L7,73,Нержавеющая сталь 
,SLND-776.1S,L7,76.1,Нержавеющая сталь 
,SLND-888.9S,L8,88.9,Нержавеющая сталь 
,SLND-8102S,L8,102,Нержавеющая сталь 
