#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLD-106,T1,6,Углеродистая сталь 
,STLD-106.4,T1,6.4,Углеродистая сталь 
,STLD-108,T1,8,Углеродистая сталь 
,STLD-109.5,T1,9.5,Углеродистая сталь 
,STLD-110,T1,10,Углеродистая сталь 
,STLD-112,T1,12,Углеродистая сталь 
,STLD-212.7,T2,12.7,Углеродистая сталь 
,STLD-213.5,T2,13.5,Углеродистая сталь 
,STLD-214,T2,14,Углеродистая сталь 
,STLD-215,T2,15,Углеродистая сталь 
,STLD-216,T2,16,Углеродистая сталь 
,STLD-217.2,T2,17.2,Углеродистая сталь 
,STLD-218,T2,18,Углеродистая сталь 
,STLD-319,T3,19,Углеродистая сталь 
,STLD-320,T3,20,Углеродистая сталь 
,STLD-321.3,T3,21.3,Углеродистая сталь 
,STLD-322,T3,22,Углеродистая сталь 
,STLD-325,T3,25,Углеродистая сталь 
,STLD-426.9,T4,26.9,Углеродистая сталь 
,STLD-428,T4,28,Углеродистая сталь 
,STLD-430,T4,30,Углеродистая сталь 
,STLD-532,T5,32,Углеродистая сталь 
,STLD-533.7,T5,33.7,Углеродистая сталь 
,STLD-535,T5,35,Углеродистая сталь 
,STLD-538,T5,38,Углеродистая сталь 
,STLD-540,T5,40,Углеродистая сталь 
,STLD-542,T5,42,Углеродистая сталь 
,STLD-106S,T1,6,Нержавеющая сталь 
,STLD-106.4S,T1,6.4,Нержавеющая сталь 
,STLD-108S,T1,8,Нержавеющая сталь 
,STLD-109.5S,T1,9.5,Нержавеющая сталь 
,STLD-110S,T1,10,Нержавеющая сталь 
,STLD-112S,T1,12,Нержавеющая сталь 
,STLD-212.7S,T2,12.7,Нержавеющая сталь 
,STLD-213.5S,T2,13.5,Нержавеющая сталь 
,STLD-214S,T2,14,Нержавеющая сталь 
,STLD-215S,T2,15,Нержавеющая сталь 
,STLD-216S,T2,16,Нержавеющая сталь 
,STLD-217.2S,T2,17.2,Нержавеющая сталь 
,STLD-218S,T2,18,Нержавеющая сталь 
,STLD-319S,T3,19,Нержавеющая сталь 
,STLD-320S,T3,20,Нержавеющая сталь 
,STLD-321.3S,T3,21.3,Нержавеющая сталь 
,STLD-322S,T3,22,Нержавеющая сталь 
,STLD-325S,T3,25,Нержавеющая сталь 
,STLD-426.9S,T4,26.9,Нержавеющая сталь 
,STLD-428S,T4,28,Нержавеющая сталь 
,STLD-430S,T4,30,Нержавеющая сталь 
,STLD-532S,T5,32,Нержавеющая сталь 
,STLD-533.7S,T5,33.7,Нержавеющая сталь 
,STLD-535S,T5,35,Нержавеющая сталь 
,STLD-538S,T5,38,Нержавеющая сталь 
,STLD-540S,T5,40,Нержавеющая сталь 
,STLD-542S,T5,42,Нержавеющая сталь 
