#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNA-106,T1,6,Углеродистая сталь 
,STNA-106.4,T1,6.4,Углеродистая сталь 
,STNA-108,T1,8,Углеродистая сталь 
,STNA-109.5,T1,9.5,Углеродистая сталь 
,STNA-110,T1,10,Углеродистая сталь 
,STNA-112,T1,12,Углеродистая сталь 
,STNA-212.7,T2,12.7,Углеродистая сталь 
,STNA-213.5,T2,13.5,Углеродистая сталь 
,STNA-214,T2,14,Углеродистая сталь 
,STNA-215,T2,15,Углеродистая сталь 
,STNA-216,T2,16,Углеродистая сталь 
,STNA-217.2,T2,17.2,Углеродистая сталь 
,STNA-218,T2,18,Углеродистая сталь 
,STNA-319,T3,19,Углеродистая сталь 
,STNA-320,T3,20,Углеродистая сталь 
,STNA-321.3,T3,21.3,Углеродистая сталь 
,STNA-322,T3,22,Углеродистая сталь 
,STNA-325,T3,25,Углеродистая сталь 
,STNA-426.9,T4,26.9,Углеродистая сталь 
,STNA-428,T4,28,Углеродистая сталь 
,STNA-430,T4,30,Углеродистая сталь 
,STNA-532,T5,32,Углеродистая сталь 
,STNA-533.7,T5,33.7,Углеродистая сталь 
,STNA-535,T5,35,Углеродистая сталь 
,STNA-538,T5,38,Углеродистая сталь 
,STNA-540,T5,40,Углеродистая сталь 
,STNA-542,T5,42,Углеродистая сталь 
,STNA-106S,T1,6,Нержавеющая сталь 
,STNA-106.4S,T1,6.4,Нержавеющая сталь 
,STNA-108S,T1,8,Нержавеющая сталь 
,STNA-109.5S,T1,9.5,Нержавеющая сталь 
,STNA-110S,T1,10,Нержавеющая сталь 
,STNA-112S,T1,12,Нержавеющая сталь 
,STNA-212.7S,T2,12.7,Нержавеющая сталь 
,STNA-213.5S,T2,13.5,Нержавеющая сталь 
,STNA-214S,T2,14,Нержавеющая сталь 
,STNA-215S,T2,15,Нержавеющая сталь 
,STNA-216S,T2,16,Нержавеющая сталь 
,STNA-217.2S,T2,17.2,Нержавеющая сталь 
,STNA-218S,T2,18,Нержавеющая сталь 
,STNA-319S,T3,19,Нержавеющая сталь 
,STNA-320S,T3,20,Нержавеющая сталь 
,STNA-321.3S,T3,21.3,Нержавеющая сталь 
,STNA-322S,T3,22,Нержавеющая сталь 
,STNA-325S,T3,25,Нержавеющая сталь 
,STNA-426.9S,T4,26.9,Нержавеющая сталь 
,STNA-428S,T4,28,Нержавеющая сталь 
,STNA-430S,T4,30,Нержавеющая сталь 
,STNA-532S,T5,32,Нержавеющая сталь 
,STNA-533.7S,T5,33.7,Нержавеющая сталь 
,STNA-535S,T5,35,Нержавеющая сталь 
,STNA-538S,T5,38,Нержавеющая сталь 
,STNA-540S,T5,40,Нержавеющая сталь 
,STNA-542S,T5,42,Нержавеющая сталь 
