#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNM-006,L0,6,Углеродистая сталь 
,SLNM-006.4,L0,6.4,Углеродистая сталь 
,SLNM-008,L0,8,Углеродистая сталь 
,SLNM-009.5,L0,9.5,Углеродистая сталь 
,SLNM-010,L0,10,Углеродистая сталь 
,SLNM-012,L0,12,Углеродистая сталь 
,SLNM-006S,L0,6,Нержавеющая сталь 
,SLNM-006.4S,L0,6.4,Нержавеющая сталь 
,SLNM-008S,L0,8,Нержавеющая сталь 
,SLNM-009.5S,L0,9.5,Нержавеющая сталь 
,SLNM-010S,L0,10,Нержавеющая сталь 
,SLNM-012S,L0,12,Нержавеющая сталь 
