#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLN-106,T1,6,Углеродистая сталь 
,STLN-106.4,T1,6.4,Углеродистая сталь 
,STLN-108,T1,8,Углеродистая сталь 
,STLN-109.5,T1,9.5,Углеродистая сталь 
,STLN-110,T1,10,Углеродистая сталь 
,STLN-112,T1,12,Углеродистая сталь 
,STLN-212.7,T2,12.7,Углеродистая сталь 
,STLN-213.5,T2,13.5,Углеродистая сталь 
,STLN-214,T2,14,Углеродистая сталь 
,STLN-215,T2,15,Углеродистая сталь 
,STLN-216,T2,16,Углеродистая сталь 
,STLN-217.2,T2,17.2,Углеродистая сталь 
,STLN-218,T2,18,Углеродистая сталь 
,STLN-319,T3,19,Углеродистая сталь 
,STLN-320,T3,20,Углеродистая сталь 
,STLN-321.3,T3,21.3,Углеродистая сталь 
,STLN-322,T3,22,Углеродистая сталь 
,STLN-325,T3,25,Углеродистая сталь 
,STLN-426.9,T4,26.9,Углеродистая сталь 
,STLN-428,T4,28,Углеродистая сталь 
,STLN-430,T4,30,Углеродистая сталь 
,STLN-532,T5,32,Углеродистая сталь 
,STLN-533.7,T5,33.7,Углеродистая сталь 
,STLN-535,T5,35,Углеродистая сталь 
,STLN-538,T5,38,Углеродистая сталь 
,STLN-540,T5,40,Углеродистая сталь 
,STLN-542,T5,42,Углеродистая сталь 
,STLN-106S,T1,6,Нержавеющая сталь 
,STLN-106.4S,T1,6.4,Нержавеющая сталь 
,STLN-108S,T1,8,Нержавеющая сталь 
,STLN-109.5S,T1,9.5,Нержавеющая сталь 
,STLN-110S,T1,10,Нержавеющая сталь 
,STLN-112S,T1,12,Нержавеющая сталь 
,STLN-212.7S,T2,12.7,Нержавеющая сталь 
,STLN-213.5S,T2,13.5,Нержавеющая сталь 
,STLN-214S,T2,14,Нержавеющая сталь 
,STLN-215S,T2,15,Нержавеющая сталь 
,STLN-216S,T2,16,Нержавеющая сталь 
,STLN-217.2S,T2,17.2,Нержавеющая сталь 
,STLN-218S,T2,18,Нержавеющая сталь 
,STLN-319S,T3,19,Нержавеющая сталь 
,STLN-320S,T3,20,Нержавеющая сталь 
,STLN-321.3S,T3,21.3,Нержавеющая сталь 
,STLN-322S,T3,22,Нержавеющая сталь 
,STLN-325S,T3,25,Нержавеющая сталь 
,STLN-426.9S,T4,26.9,Нержавеющая сталь 
,STLN-428S,T4,28,Нержавеющая сталь 
,STLN-430S,T4,30,Нержавеющая сталь 
,STLN-532S,T5,32,Нержавеющая сталь 
,STLN-533.7S,T5,33.7,Нержавеющая сталь 
,STLN-535S,T5,35,Нержавеющая сталь 
,STLN-538S,T5,38,Нержавеющая сталь 
,STLN-540S,T5,40,Нержавеющая сталь 
,STLN-542S,T5,42,Нержавеющая сталь 
