#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNA-106,L1,6,Углеродистая сталь 
,SLNA-106.4,L1,6.4,Углеродистая сталь 
,SLNA-108,L1,8,Углеродистая сталь 
,SLNA-109.5,L1,9.5,Углеродистая сталь 
,SLNA-110,L1,10,Углеродистая сталь 
,SLNA-112,L1,12,Углеродистая сталь 
,SLNA-212.7,L2,12.7,Углеродистая сталь 
,SLNA-213.5,L2,13.5,Углеродистая сталь 
,SLNA-214,L2,14,Углеродистая сталь 
,SLNA-215,L2,15,Углеродистая сталь 
,SLNA-216,L2,16,Углеродистая сталь 
,SLNA-217.2,L2,17.2,Углеродистая сталь 
,SLNA-218,L2,18,Углеродистая сталь 
,SLNA-319,L3,19,Углеродистая сталь 
,SLNA-320,L3,20,Углеродистая сталь 
,SLNA-321.3,L3,21.3,Углеродистая сталь 
,SLNA-322,L3,22,Углеродистая сталь 
,SLNA-325,L3,25,Углеродистая сталь 
,SLNA-426.9,L4,26.9,Углеродистая сталь 
,SLNA-428,L4,28,Углеродистая сталь 
,SLNA-430,L4,30,Углеродистая сталь 
,SLNA-532,L5,32,Углеродистая сталь 
,SLNA-533.7,L5,33.7,Углеродистая сталь 
,SLNA-535,L5,35,Углеродистая сталь 
,SLNA-538,L5,38,Углеродистая сталь 
,SLNA-540,L5,40,Углеродистая сталь 
,SLNA-542,L5,42,Углеродистая сталь 
,SLNA-644.5,L6,44.5,Углеродистая сталь 
,SLNA-648.3,L6,48.3,Углеродистая сталь 
,SLNA-650.8,L6,50.8,Углеродистая сталь 
,SLNA-757.2,L7,57.2,Углеродистая сталь 
,SLNA-760.3,L7,60.3,Углеродистая сталь 
,SLNA-763.5,L7,63.5,Углеродистая сталь 
,SLNA-770,L7,70,Углеродистая сталь 
,SLNA-773,L7,73,Углеродистая сталь 
,SLNA-776.1,L7,76.1,Углеродистая сталь 
,SLNA-888.9,L8,88.9,Углеродистая сталь 
,SLNA-8102,L8,102,Углеродистая сталь 
,SLNA-106S,L1,6,Нержавеющая сталь 
,SLNA-106.4S,L1,6.4,Нержавеющая сталь 
,SLNA-108S,L1,8,Нержавеющая сталь 
,SLNA-109.5S,L1,9.5,Нержавеющая сталь 
,SLNA-110S,L1,10,Нержавеющая сталь 
,SLNA-112S,L1,12,Нержавеющая сталь 
,SLNA-212.7S,L2,12.7,Нержавеющая сталь 
,SLNA-213.5S,L2,13.5,Нержавеющая сталь 
,SLNA-214S,L2,14,Нержавеющая сталь 
,SLNA-215S,L2,15,Нержавеющая сталь 
,SLNA-216S,L2,16,Нержавеющая сталь 
,SLNA-217.2S,L2,17.2,Нержавеющая сталь 
,SLNA-218S,L2,18,Нержавеющая сталь 
,SLNA-319S,L3,19,Нержавеющая сталь 
,SLNA-320S,L3,20,Нержавеющая сталь 
,SLNA-321.3S,L3,21.3,Нержавеющая сталь 
,SLNA-322S,L3,22,Нержавеющая сталь 
,SLNA-325S,L3,25,Нержавеющая сталь 
,SLNA-426.9S,L4,26.9,Нержавеющая сталь 
,SLNA-428S,L4,28,Нержавеющая сталь 
,SLNA-430S,L4,30,Нержавеющая сталь 
,SLNA-532S,L5,32,Нержавеющая сталь 
,SLNA-533.7S,L5,33.7,Нержавеющая сталь 
,SLNA-535S,L5,35,Нержавеющая сталь 
,SLNA-538S,L5,38,Нержавеющая сталь 
,SLNA-540S,L5,40,Нержавеющая сталь 
,SLNA-542S,L5,42,Нержавеющая сталь 
,SLNA-644.5S,L6,44.5,Нержавеющая сталь 
,SLNA-648.3S,L6,48.3,Нержавеющая сталь 
,SLNA-650.8S,L6,50.8,Нержавеющая сталь 
,SLNA-757.2S,L7,57.2,Нержавеющая сталь 
,SLNA-760.3S,L7,60.3,Нержавеющая сталь 
,SLNA-763.5S,L7,63.5,Нержавеющая сталь 
,SLNA-770S,L7,70,Нержавеющая сталь 
,SLNA-773S,L7,73,Нержавеющая сталь 
,SLNA-776.1S,L7,76.1,Нержавеющая сталь 
,SLNA-888.9S,L8,88.9,Нержавеющая сталь 
,SLNA-8102S,L8,102,Нержавеющая сталь 
