#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNL-106,T1,6,Углеродистая сталь 
,STNL-106.4,T1,6.4,Углеродистая сталь 
,STNL-108,T1,8,Углеродистая сталь 
,STNL-109.5,T1,9.5,Углеродистая сталь 
,STNL-110,T1,10,Углеродистая сталь 
,STNL-112,T1,12,Углеродистая сталь 
,STNL-212.7,T2,12.7,Углеродистая сталь 
,STNL-213.5,T2,13.5,Углеродистая сталь 
,STNL-214,T2,14,Углеродистая сталь 
,STNL-215,T2,15,Углеродистая сталь 
,STNL-216,T2,16,Углеродистая сталь 
,STNL-217.2,T2,17.2,Углеродистая сталь 
,STNL-218,T2,18,Углеродистая сталь 
,STNL-319,T3,19,Углеродистая сталь 
,STNL-320,T3,20,Углеродистая сталь 
,STNL-321.3,T3,21.3,Углеродистая сталь 
,STNL-322,T3,22,Углеродистая сталь 
,STNL-325,T3,25,Углеродистая сталь 
,STNL-426.9,T4,26.9,Углеродистая сталь 
,STNL-428,T4,28,Углеродистая сталь 
,STNL-430,T4,30,Углеродистая сталь 
,STNL-532,T5,32,Углеродистая сталь 
,STNL-533.7,T5,33.7,Углеродистая сталь 
,STNL-535,T5,35,Углеродистая сталь 
,STNL-538,T5,38,Углеродистая сталь 
,STNL-540,T5,40,Углеродистая сталь 
,STNL-542,T5,42,Углеродистая сталь 
,STNL-106S,T1,6,Нержавеющая сталь 
,STNL-106.4S,T1,6.4,Нержавеющая сталь 
,STNL-108S,T1,8,Нержавеющая сталь 
,STNL-109.5S,T1,9.5,Нержавеющая сталь 
,STNL-110S,T1,10,Нержавеющая сталь 
,STNL-112S,T1,12,Нержавеющая сталь 
,STNL-212.7S,T2,12.7,Нержавеющая сталь 
,STNL-213.5S,T2,13.5,Нержавеющая сталь 
,STNL-214S,T2,14,Нержавеющая сталь 
,STNL-215S,T2,15,Нержавеющая сталь 
,STNL-216S,T2,16,Нержавеющая сталь 
,STNL-217.2S,T2,17.2,Нержавеющая сталь 
,STNL-218S,T2,18,Нержавеющая сталь 
,STNL-319S,T3,19,Нержавеющая сталь 
,STNL-320S,T3,20,Нержавеющая сталь 
,STNL-321.3S,T3,21.3,Нержавеющая сталь 
,STNL-322S,T3,22,Нержавеющая сталь 
,STNL-325S,T3,25,Нержавеющая сталь 
,STNL-426.9S,T4,26.9,Нержавеющая сталь 
,STNL-428S,T4,28,Нержавеющая сталь 
,STNL-430S,T4,30,Нержавеющая сталь 
,STNL-532S,T5,32,Нержавеющая сталь 
,STNL-533.7S,T5,33.7,Нержавеющая сталь 
,STNL-535S,T5,35,Нержавеющая сталь 
,STNL-538S,T5,38,Нержавеющая сталь 
,STNL-540S,T5,40,Нержавеющая сталь 
,STNL-542S,T5,42,Нержавеющая сталь 
