#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм)
,SWN-106,L1,6
,SWN-106.4,L1,6.4
,SWN-108,L1,8
,SWN-208,L2,8
,SWN-209.5,L2,9.5
,SWN-210,L2,10
,SWN-212,L2,12
,SWN-212.7,L2,12.7
,SWN-310,L3,10
,SWN-312,L3,12
,SWN-312.7,L3,12.7
,SWN-313.5,L3,13.5
,SWN-314,L3,14
,SWN-315,L3,15
,SWN-316,L3,16
,SWN-414,L4,14
,SWN-415,L4,15
,SWN-416,L4,16
,SWN-417.2,L4,17.2
,SWN-418,L4,18
,SWN-419,L4,19
,SWN-420,L4,20
,SWN-421.3,L4,21.3
,SWN-422,L4,22
